# Data from: http://dx.doi.org/10.1016/j.hydromet.2016.06.028,,,,,,,,
QuinoneCode,R2,R3,R5,R6,E0.1,E0.2,Pka.2,Pka.1
1,H,H,H,H,0.099,0.023,11.4,9.85
2,C6H5,H,H,H,0.072,0.052,10.88,8.5
3,CH3,H,H,H,0.007,-0.03,11.39,10.52
4,C(CH3)3,H,H,H,-0.041,-0.096,12.25,10.4
5,OCH3,H,H,H,-0.039,-0.049,11.27,9.53
6,N(CH3)2,H,H,H,-0.221,-0.144,12.32,9.6
7,NH2,H,H,H,-0.193,-0.117,11.16,9.5
8,CH2CH3,H,H,H,-0.025,-0.068,11.71,10.32
9,OH,H,H,H,0.013,-0.025,11.03,9.64
10,OCH2CH3,H,H,H,-0.07,-0.069,11.51,9.13
11,F,H,H,H,0.231,0.153,9.32,7.43
12,Cl,H,H,H,0.242,0.195,9.21,7.28
13,Br,H,H,H,0.243,0.191,9.8,5.58
14,SH,H,H,H,0.11,0.086,10.31,8.85
15,SiH3,H,H,H,0.156,0.07,10.5,7.89
16,CHO,H,H,H,0.393,0.362,9.23,8.6
17,COOCH3,H,H,H,0.339,0.26,11.32,7.81
18,CF3,H,H,H,0.365,0.263,9.13,5.03
19,CN,H,H,H,0.479,0.401,8.32,3.11
20,COOH,H,H,H,0.592,-0.068,10.16,8.02
21,SO3-,H,H,H,0.184,0.16,11.17,9.25
22,NO2,H,H,H,0.613,0.688,6.15,3.56
23,COCH3,H,H,H,0.276,0.299,11.92,8.08
24,C6H5,C6H5,H,H,0.012,0.008,11.12,9.06
25,CH3,CH3,H,H,-0.09,-0.133,12.64,10.21
26,C(CH3)3,C(CH3)3,H,H,-0.385,-0.249,12.33,10.4
27,OCH3,OCH3,H,H,-0.048,0.065,10.97,7.77
28,N(CH3)2,N(CH3)2,H,H,-0.301,-0.117,11.11,9.43
29,NH2,NH2,H,H,-0.172,-0.144,10.46,7.85
30,CH2CH3,CH2CH3,H,H,-0.113,-0.118,11.94,10.51
31,OH,OH,H,H,0.041,0.028,10.28,6.38
32,OCH2CH3,OCH2CH3,H,H,-0.086,0.137,10.61,8.14
33,F,F,H,H,0.374,0.282,6.7,4.9
34,Cl,Cl,H,H,0.342,0.32,6.52,4.7
35,Br,Br,H,H,0.33,0.315,7.2,4.9
36,SH,SH,H,H,0.112,0.851,-4.47,7.5
37,SiH3,SiH3,H,H,0.191,0.237,7.98,6.6
38,CHO,CHO,H,H,0.658,0.835,6.6,1.08
39,COOCH3,COOCH3,H,H,0.445,0.417,9.33,5.39
40,CF3,CF3,H,H,0.365,0.263,9.13,5.03
41,CN,CN,H,H,0.886,0.856,1.47,-0.09
42,COOH,COOH,H,H,0.77,0.125,7.75,4.71
43,SO3-,SO3-,H,H,0.184,0.265,12.68,6.7
44,NO2,NO2,H,H,0.983,1.378,-2.21,-3.63
45,COCH3,COCH3,H,H,0.421,0.433,8.86,3.34
46,C6H5,H,C6H5,H,0.041,0.104,9.42,9.55
47,CH3,H,CH3,H,-0.092,-0.081,12.55,9.77
48,C(CH3)3,H,C(CH3)3,H,-0.193,-0.193,12.78,11.35
49,OCH3,H,OCH3,H,-0.146,-0.233,10.91,11.01
50,N(CH3)2,H,N(CH3)2,H,-0.602,-0.284,12.53,12.18
