"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s"
"1",2,2.75,-0.75,-3.15,414.325483723485,0.004489
"2",13.5,2.75,-0.75,-3.15,36.5759588391821,-7.3139e-05
"3",7.75,0,-0.75,-3.15,23.6057072739459,0.00014918
"4",7.75,5.5,-0.75,-3.15,21.970764218626,-7.042e-05
"5",7.75,2.75,-2,-3.15,213.782293898205,0.0014534
"6",7.75,2.75,0.5,-3.15,16.3385293141826,-0.00022249
"7",7.75,2.75,-0.75,-7,15.8574317208049,-6.7345e-05
"8",7.75,2.75,-0.75,0.7,9.728901208372,-3.1514e-05
"9",2,0,-2,-7,21.1200759368146,0.0034131
"10",13.5,0,-2,-7,214.847447944871,0.0014524
"11",2,5.5,-2,-7,83.9814746696358,0.0017067
"12",13.5,5.5,-2,-7,214.847587466069,0.0014524
"13",2,0,0.5,-7,7516.55783353728,0.012191
"14",13.5,0,0.5,-7,40.632384817577,-0.00018359
"15",2,5.5,0.5,-7,10246.8707089599,0.0036056
"16",13.5,5.5,0.5,-7,45.0304589872741,-0.00030867
"17",2,0,-2,0.7,14.6263859683122,0.0053934
"18",13.5,0,-2,0.7,122.223303689917,0.0014515
"19",2,5.5,-2,0.7,25.4639722433976,0.0020953
"20",13.5,5.5,-2,0.7,122.223609363264,0.0014515
"21",2,0,0.5,0.7,180.2461666253,2.7885
"22",13.5,0,0.5,0.7,17.1901563754826,6.6338e-05
"23",2,5.5,0.5,0.7,40.6734745519308,0.27478
"24",13.5,5.5,0.5,0.7,17.1898732363331,6.621e-05
"25",7.93898360047024,5.06815285189077,-1.2480921628885,-5.64882734238636,20.8191348036238,-5.6238e-05
"26",2.64282698149327,4.37151199101936,-0.516127918264829,-2.12001732438803,2845.73608869489,0.0012961
"27",9.33791710762307,0.175933481543325,-0.909997681039385,-1.16363844610751,17.3081856366623,-5.4779e-05
"28",2.28636033355724,3.62518887536135,-1.17638170823921,-4.69488470170181,185.326772043884,0.0029848
"29",2.1404431767296,0.952769805095159,-0.931492564734071,-4.08181163235568,277.448423337096,0.0040919
"30",11.1527582861017,0.165925993351266,0.294345696573146,-0.627333406964317,25.6588408019505,-0.00014316
"31",3.10963848780375,2.13230603339616,-0.636224002111703,-6.53519993375521,555.608991603023,0.0047043
"32",6.13065829128027,0.108361403807066,-0.0134977347915992,-5.52547768468503,1902.01260620008,0.0057724
"33",11.1986192617333,4.49765790509991,0.382805818342604,-0.805179022182711,35.855836966465,-0.00025486
"34",8.05340050195809,0.97145246132277,0.284322970081121,-1.99988619438373,17.6688346928726,-7.5387e-05
"35",4.68846401711926,2.3113444672199,0.0418020937358961,-5.02906364637893,3445.49616835998,0.0030769
"36",11.055997403455,4.03584279085044,-1.91530008730479,-1.41894802802708,615.217908684575,0.0010419
"37",8.33390424656682,1.09639446681831,-1.83145466423593,0.549884649855085,6496.14182941601,0.00059525
"38",2.26159215182997,1.42912809550762,-0.161522208247334,-3.3753707840573,1640.92677520638,0.0071215
"39",5.24912284885067,1.69836825085804,-1.76024426345248,-1.96991573753767,120.847225478847,0.0015501
"40",11.6803607895272,3.20879978511948,-0.211797616095282,-4.32539753168821,35.8591810808449,-0.00012954
"41",7.55519400292542,0.50993778638076,-1.23253273533192,-6.24588012869935,15.1621531722752,6.1496e-05
"42",4.51242016791366,2.14465148374438,-1.73770400858484,-6.28749031329062,85.6838321685569,0.0018826
"43",5.15828727988992,3.37252078542951,0.404855191125534,-0.696248211013153,5294.47589478077,0.0013611
"44",5.08055456529837,0.0619048550724983,-1.47521431429777,-3.53483210681006,83.7457948728397,0.0033762
"45",7.6807538412977,4.5653950109845,0.168831458548084,-4.93421200965531,20.1968119469748,-0.00015416
"46",3.56944555987138,5.25159465894103,0.171225641504861,-4.21519125017803,13.1307602274774,-5.2524e-05
"47",11.4892760869116,3.79209402599372,-0.482868889695965,-5.5575008749729,34.3952298334664,-0.00010024
"48",8.68402494268958,3.12804146262351,-0.101948462426662,-2.42778299369384,21.5611336259531,-0.00011462
"49",9.48160024592653,0.749276115675457,-0.459015978151001,-5.95527744905557,19.6524306222063,-7.8881e-05
"50",9.14398336608429,4.85722983523738,-0.762290856684558,-0.340169410360977,23.1172950020561,-7.0526e-05
"51",12.6222076098202,3.62213972385507,0.103995477082208,-1.81937876660377,39.9090859155218,-0.0001941
"52",8.44646682788152,3.66800994891673,-1.45298132544849,-4.05924742536154,20.9937101676362,-5.3572e-05
