"","x1","x2","x3","f1","f2","order","f1.norm","f2.norm","theta","dist","rad"
"1",0,0,0,0,1,0,0,1,100,0,1
"2",0.25,0,0,0.25,0.5,0,0.25,0.5,70.4832764699133,0,0.559016994374947
"3",0.5,0,0,0.5,0.292893218813452,0,0.5,0.292893218813452,33.7346593386907,0,0.579470825518338
"4",0.75,0,0,0.75,0.133974596215561,0,0.75,0.133974596215561,11.2534211113424,0,0.761872162787907
"5",1,0,0,1,0,0,1,0,0,0,1
"6",0,0.25,0,0,2.125,0,0,2.125,100,1.125,2.125
"7",0.25,0.25,0,0.25,1.39613101314434,0,0.25,1.39613101314434,88.7198371689345,0.750513726802011,1.41833769105366
"8",0.5,0.25,0,0.5,1.09422359359558,0,0.5,1.09422359359558,72.7135624398561,0.636294748672182,1.20304832520611
"9",0.75,0.25,0,0.75,0.86256188270474,0,0.75,0.86256188270474,54.4366094813414,0.60465006820672,1.1430279968116
"10",1,0.25,0,1,0.667262026288675,0,1,0.667262026288675,37.4596408399291,0.636141869436331,1.20218077331442
"11",0,0.5,0,0,3.25,0,0,3.25,100,2.25,3.25
"12",0.25,0.5,0,0.25,2.348612181134,0,0.25,2.348612181134,93.2488690559308,1.63455834990805,2.36188043248828
"13",0.5,0.5,0,0.5,1.9752451216018,0,0.5,1.9752451216018,84.2165839228072,1.40842403065383,2.03754589897055
"14",0.75,0.5,0,0.75,1.6887505004004,0,0.75,1.6887505004004,73.3925100030768,1.27851240258158,1.84780362934014
"15",1,0.5,0,1,1.44722436226801,0,1,1.44722436226801,61.5070948130228,1.21763594871786,1.75910726072689
"16",0,0.75,0,0,4.375,0,0,4.375,100,3.375,4.375
"17",0.25,0.75,0,0.25,3.32917496683241,0,0.25,3.32917496683241,95.2283436183856,2.57492501266349,3.33854848096947
"18",0.5,0.75,0,0.5,2.8959800542251,0,0.5,2.8959800542251,89.1158630876565,2.26702222297215,2.93882637705422
"19",0.75,0.75,0,0.75,2.56357790672632,0,0.75,2.56357790672632,81.880713884077,2.05911354316296,2.67103569497963
"20",1,0.75,0,1,2.28334993366481,0,1,2.28334993366481,73.7209330491906,1.92217652673963,2.49272680403752
"21",0,1,0,0,5.5,0,0,5.5,100,4.5,5.5
"22",0.25,1,0,0.25,4.32739606004414,0,0.25,4.32739606004414,96.3262379380779,3.54382118546927,4.33461147745511
"23",0.5,1,0,0.5,3.8416876048223,0,0.5,3.8416876048223,91.7606362007969,3.16890304144233,3.8740887513124
"24",0.75,1,0,0.75,3.46899039884101,0,0.75,3.46899039884101,86.4448349255194,2.90185008317544,3.54913995036137
"25",1,1,0,1,3.15479212008829,0,1,3.15479212008829,80.4583614671395,2.70719699737151,3.30948837752471
"26",0,0,0.25,0,2.125,0,0,2.125,100,1.125,2.125
"27",0.25,0,0.25,0.25,1.39613101314434,0,0.25,1.39613101314434,88.7198371689345,0.750513726802011,1.41833769105366
"28",0.5,0,0.25,0.5,1.09422359359558,0,0.5,1.09422359359558,72.7135624398561,0.636294748672182,1.20304832520611
"29",0.75,0,0.25,0.75,0.86256188270474,0,0.75,0.86256188270474,54.4366094813414,0.60465006820672,1.1430279968116
"30",1,0,0.25,1,0.667262026288675,0,1,0.667262026288675,37.4596408399291,0.636141869436331,1.20218077331442
"31",0,0.25,0.25,0,3.25,0,0,3.25,100,2.25,3.25
"32",0.25,0.25,0.25,0.25,2.348612181134,0,0.25,2.348612181134,93.2488690559308,1.63455834990805,2.36188043248828
"33",0.5,0.25,0.25,0.5,1.9752451216018,0,0.5,1.9752451216018,84.2165839228072,1.40842403065383,2.03754589897055
"34",0.75,0.25,0.25,0.75,1.6887505004004,0,0.75,1.6887505004004,73.3925100030768,1.27851240258158,1.84780362934014
"35",1,0.25,0.25,1,1.44722436226801,0,1,1.44722436226801,61.5070948130228,1.21763594871786,1.75910726072689
"36",0,0.5,0.25,0,4.375,0,0,4.375,100,3.375,4.375
"37",0.25,0.5,0.25,0.25,3.32917496683241,0,0.25,3.32917496683241,95.2283436183856,2.57492501266349,3.33854848096947
"38",0.5,0.5,0.25,0.5,2.8959800542251,0,0.5,2.8959800542251,89.1158630876565,2.26702222297215,2.93882637705422
"39",0.75,0.5,0.25,0.75,2.56357790672632,0,0.75,2.56357790672632,81.880713884077,2.05911354316296,2.67103569497963
"40",1,0.5,0.25,1,2.28334993366481,0,1,2.28334993366481,73.7209330491906,1.92217652673963,2.49272680403752
"41",0,0.75,0.25,0,5.5,0,0,5.5,100,4.5,5.5
"42",0.25,0.75,0.25,0.25,4.32739606004414,0,0.25,4.32739606004414,96.3262379380779,3.54382118546927,4.33461147745511
"43",0.5,0.75,0.25,0.5,3.8416876048223,0,0.5,3.8416876048223,91.7606362007969,3.16890304144233,3.8740887513124
"44",0.75,0.75,0.25,0.75,3.46899039884101,0,0.75,3.46899039884101,86.4448349255194,2.90185008317544,3.54913995036137
"45",1,0.75,0.25,1,3.15479212008829,0,1,3.15479212008829,80.4583614671395,2.70719699737151,3.30948837752471
"46",0,1,0.25,0,6.625,0,0,6.625,100,5.625,6.625
"47",0.25,1,0.25,0.25,5.33804623237662,0,0.25,5.33804623237662,97.0206565052513,4.53348509325314,5.34389722758496
"48",0.5,1,0.25,0.5,4.80497252767987,0,0.5,4.80497252767987,93.3991634968803,4.10098482438243,4.830917199845
"49",0.75,1,0.25,0.75,4.39593068748412,0,0.75,4.39593068748412,89.2420659653958,3.78615232605395,4.45945137984087
"50",1,1,0.25,1,4.05109246475325,0,1,4.05109246475325,84.5932327388115,3.54062414815408,4.17269099718402
"51",0,0,0.5,0,3.25,0,0,3.25,100,2.25,3.25
"52",0.25,0,0.5,0.25,2.348612181134,0,0.25,2.348612181134,93.2488690559308,1.63455834990805,2.36188043248828
"53",0.5,0,0.5,0.5,1.9752451216018,0,0.5,1.9752451216018,84.2165839228072,1.40842403065383,2.03754589897055
"54",0.75,0,0.5,0.75,1.6887505004004,0,0.75,1.6887505004004,73.3925100030768,1.27851240258158,1.84780362934014
"55",1,0,0.5,1,1.44722436226801,0,1,1.44722436226801,61.5070948130228,1.21763594871786,1.75910726072689
"56",0,0.25,0.5,0,4.375,0,0,4.375,100,3.375,4.375
"57",0.25,0.25,0.5,0.25,3.32917496683241,0,0.25,3.32917496683241,95.2283436183856,2.57492501266349,3.33854848096947
"58",0.5,0.25,0.5,0.5,2.8959800542251,0,0.5,2.8959800542251,89.1158630876565,2.26702222297215,2.93882637705422
