"","x1","x2","x3","f1","f2","order"
"1",0,0,0,0,1,0
"2",0.25,0,0,0.25,0.5,0
"3",0.5,0,0,0.5,0.292893218813452,0
"4",0.75,0,0,0.75,0.133974596215561,0
"5",1,0,0,1,0,0
"6",0,0.25,0,0,2.125,0
"7",0.25,0.25,0,0.25,1.39613101314434,0
"8",0.5,0.25,0,0.5,1.09422359359558,0
"9",0.75,0.25,0,0.75,0.86256188270474,0
"10",1,0.25,0,1,0.667262026288675,0
"11",0,0.5,0,0,3.25,0
"12",0.25,0.5,0,0.25,2.348612181134,0
"13",0.5,0.5,0,0.5,1.9752451216018,0
"14",0.75,0.5,0,0.75,1.6887505004004,0
"15",1,0.5,0,1,1.44722436226801,0
"16",0,0.75,0,0,4.375,0
"17",0.25,0.75,0,0.25,3.32917496683241,0
"18",0.5,0.75,0,0.5,2.8959800542251,0
"19",0.75,0.75,0,0.75,2.56357790672632,0
"20",1,0.75,0,1,2.28334993366481,0
"21",0,1,0,0,5.5,0
"22",0.25,1,0,0.25,4.32739606004414,0
"23",0.5,1,0,0.5,3.8416876048223,0
"24",0.75,1,0,0.75,3.46899039884101,0
"25",1,1,0,1,3.15479212008829,0
"26",0,0,0.25,0,2.125,0
"27",0.25,0,0.25,0.25,1.39613101314434,0
"28",0.5,0,0.25,0.5,1.09422359359558,0
"29",0.75,0,0.25,0.75,0.86256188270474,0
"30",1,0,0.25,1,0.667262026288675,0
"31",0,0.25,0.25,0,3.25,0
"32",0.25,0.25,0.25,0.25,2.348612181134,0
"33",0.5,0.25,0.25,0.5,1.9752451216018,0
"34",0.75,0.25,0.25,0.75,1.6887505004004,0
"35",1,0.25,0.25,1,1.44722436226801,0
"36",0,0.5,0.25,0,4.375,0
"37",0.25,0.5,0.25,0.25,3.32917496683241,0
"38",0.5,0.5,0.25,0.5,2.8959800542251,0
"39",0.75,0.5,0.25,0.75,2.56357790672632,0
"40",1,0.5,0.25,1,2.28334993366481,0
"41",0,0.75,0.25,0,5.5,0
"42",0.25,0.75,0.25,0.25,4.32739606004414,0
"43",0.5,0.75,0.25,0.5,3.8416876048223,0
"44",0.75,0.75,0.25,0.75,3.46899039884101,0
"45",1,0.75,0.25,1,3.15479212008829,0
"46",0,1,0.25,0,6.625,0
"47",0.25,1,0.25,0.25,5.33804623237662,0
"48",0.5,1,0.25,0.5,4.80497252767987,0
"49",0.75,1,0.25,0.75,4.39593068748412,0
"50",1,1,0.25,1,4.05109246475325,0
"51",0,0,0.5,0,3.25,0
"52",0.25,0,0.5,0.25,2.348612181134,0
"53",0.5,0,0.5,0.5,1.9752451216018,0
"54",0.75,0,0.5,0.75,1.6887505004004,0
"55",1,0,0.5,1,1.44722436226801,0
"56",0,0.25,0.5,0,4.375,0
"57",0.25,0.25,0.5,0.25,3.32917496683241,0
"58",0.5,0.25,0.5,0.5,2.8959800542251,0
"59",0.75,0.25,0.5,0.75,2.56357790672632,0
"60",1,0.25,0.5,1,2.28334993366481,0
"61",0,0.5,0.5,0,5.5,0
"62",0.25,0.5,0.5,0.25,4.32739606004414,0
"63",0.5,0.5,0.5,0.5,3.8416876048223,0
"64",0.75,0.5,0.5,0.75,3.46899039884101,0
"65",1,0.5,0.5,1,3.15479212008829,0
"66",0,0.75,0.5,0,6.625,0
"67",0.25,0.75,0.5,0.25,5.33804623237662,0
"68",0.5,0.75,0.5,0.5,4.80497252767987,0
"69",0.75,0.75,0.5,0.75,4.39593068748412,0
"70",1,0.75,0.5,1,4.05109246475325,0
"71",0,1,0.5,0,7.75,0
"72",0.25,1,0.5,0.25,6.35805890929249,0
"73",0.5,1,0.5,0.5,5.78149803149705,0
"74",0.75,1,0.5,0.75,5.33908730975176,0
"75",1,1,0.5,1,4.96611781858499,0
"76",0,0,0.75,0,4.375,0
"77",0.25,0,0.75,0.25,3.32917496683241,0
"78",0.5,0,0.75,0.5,2.8959800542251,0
"79",0.75,0,0.75,0.75,2.56357790672632,0
"80",1,0,0.75,1,2.28334993366481,0
"81",0,0.25,0.75,0,5.5,0
"82",0.25,0.25,0.75,0.25,4.32739606004414,0
"83",0.5,0.25,0.75,0.5,3.8416876048223,0
"84",0.75,0.25,0.75,0.75,3.46899039884101,0
"85",1,0.25,0.75,1,3.15479212008829,0
"86",0,0.5,0.75,0,6.625,0
"87",0.25,0.5,0.75,0.25,5.33804623237662,0
"88",0.5,0.5,0.75,0.5,4.80497252767987,0
"89",0.75,0.5,0.75,0.75,4.39593068748412,0
"90",1,0.5,0.75,1,4.05109246475325,0
"91",0,0.75,0.75,0,7.75,0
"92",0.25,0.75,0.75,0.25,6.35805890929249,0
"93",0.5,0.75,0.75,0.5,5.78149803149705,0
"94",0.75,0.75,0.75,0.75,5.33908730975176,0
"95",1,0.75,0.75,1,4.96611781858499,0
"96",0,1,0.75,0,8.875,0
"97",0.25,1,0.75,0.25,7.38545308902338,0
"98",0.5,1,0.75,0.5,6.76846255670591,0
"99",0.75,1,0.75,0.75,6.29502906993121,0
"100",1,1,0.75,1,5.89590617804675,0
"101",0,0,1,0,5.5,0
"102",0.25,0,1,0.25,4.32739606004414,0
"103",0.5,0,1,0.5,3.8416876048223,0
"104",0.75,0,1,0.75,3.46899039884101,0
"105",1,0,1,1,3.15479212008829,0
"106",0,0.25,1,0,6.625,0
"107",0.25,0.25,1,0.25,5.33804623237662,0
"108",0.5,0.25,1,0.5,4.80497252767987,0
"109",0.75,0.25,1,0.75,4.39593068748412,0
"110",1,0.25,1,1,4.05109246475325,0
"111",0,0.5,1,0,7.75,0
"112",0.25,0.5,1,0.25,6.35805890929249,0
"113",0.5,0.5,1,0.5,5.78149803149705,0
"114",0.75,0.5,1,0.75,5.33908730975176,0
"115",1,0.5,1,1,4.96611781858499,0
"116",0,0.75,1,0,8.875,0
"117",0.25,0.75,1,0.25,7.38545308902338,0
"118",0.5,0.75,1,0.5,6.76846255670591,0
"119",0.75,0.75,1,0.75,6.29502906993121,0
"120",1,0.75,1,1,5.89590617804675,0
"121",0,1,1,0,10,0
"122",0.25,1,1,0.25,8.41886116991581,0
"123",0.5,1,1,0.5,7.76393202250021,0
"124",0.75,1,1,0.75,7.26138721247417,0
"125",1,1,1,1,6.83772233983162,0
"126",0.115018435490464,0,0,0.115018435490464,0.660856320285245,1
"127",0.610583015958073,0,0,0.610583015958073,0.218601883827409,2
