"","x1","x2","x3","f1","f2","order","f1.norm","f2.norm","theta","dist"
"1",0,0,0,0,1,0,0,1,100,0
"2",0.25,0,0,0.25,0.5,0,0.25,0.5,70.4832764699133,0
"3",0.5,0,0,0.5,0.292893218813452,0,0.5,0.292893218813452,33.7346593386907,0
"4",0.75,0,0,0.75,0.133974596215561,0,0.75,0.133974596215561,11.2534211113424,0
"5",1,0,0,1,0,0,1,0,0,0
"6",0,0.25,0,0,2.125,0,0,2.125,100,1.125
"7",0.25,0.25,0,0.25,1.39613101314434,0,0.25,1.39613101314434,88.7198371689345,0.750513726802011
"8",0.5,0.25,0,0.5,1.09422359359558,0,0.5,1.09422359359558,72.7135624398561,0.636294748672182
"9",0.75,0.25,0,0.75,0.86256188270474,0,0.75,0.86256188270474,54.4366094813414,0.60465006820672
"10",1,0.25,0,1,0.667262026288675,0,1,0.667262026288675,37.4596408399291,0.636141869436331
"11",0,0.5,0,0,3.25,0,0,3.25,100,2.25
"12",0.25,0.5,0,0.25,2.348612181134,0,0.25,2.348612181134,93.2488690559308,1.63455834990805
"13",0.5,0.5,0,0.5,1.9752451216018,0,0.5,1.9752451216018,84.2165839228072,1.40842403065383
"14",0.75,0.5,0,0.75,1.6887505004004,0,0.75,1.6887505004004,73.3925100030768,1.27851240258158
"15",1,0.5,0,1,1.44722436226801,0,1,1.44722436226801,61.5070948130228,1.21763594871786
"16",0,0.75,0,0,4.375,0,0,4.375,100,3.375
"17",0.25,0.75,0,0.25,3.32917496683241,0,0.25,3.32917496683241,95.2283436183856,2.57492501266349
"18",0.5,0.75,0,0.5,2.8959800542251,0,0.5,2.8959800542251,89.1158630876565,2.26702222297215
"19",0.75,0.75,0,0.75,2.56357790672632,0,0.75,2.56357790672632,81.880713884077,2.05911354316296
"20",1,0.75,0,1,2.28334993366481,0,1,2.28334993366481,73.7209330491906,1.92217652673963
"21",0,1,0,0,5.5,0,0,5.5,100,4.5
"22",0.25,1,0,0.25,4.32739606004414,0,0.25,4.32739606004414,96.3262379380779,3.54382118546927
"23",0.5,1,0,0.5,3.8416876048223,0,0.5,3.8416876048223,91.7606362007969,3.16890304144233
"24",0.75,1,0,0.75,3.46899039884101,0,0.75,3.46899039884101,86.4448349255194,2.90185008317544
"25",1,1,0,1,3.15479212008829,0,1,3.15479212008829,80.4583614671395,2.70719699737151
"26",0,0,0.25,0,2.125,0,0,2.125,100,1.125
"27",0.25,0,0.25,0.25,1.39613101314434,0,0.25,1.39613101314434,88.7198371689345,0.750513726802011
"28",0.5,0,0.25,0.5,1.09422359359558,0,0.5,1.09422359359558,72.7135624398561,0.636294748672182
