"","x","prob","var","cond"
"25%",0,0,"x1","None"
"25%1",0.0204081632653061,1.42877996631578e-07,"x1","None"
"25%2",0.0408163265306122,0.00137834453746267,"x1","None"
"25%3",0.0612244897959184,0.0017688098021829,"x1","None"
"25%4",0.0816326530612245,0.00208975417060462,"x1","None"
"25%5",0.102040816326531,0.00113078107258557,"x1","None"
"25%6",0.122448979591837,0.00272214350263406,"x1","None"
"25%7",0.142857142857143,0.00892609266697571,"x1","None"
"25%8",0.163265306122449,0.00518004274522435,"x1","None"
"25%9",0.183673469387755,0.00645094411737819,"x1","None"
"25%10",0.204081632653061,0.00589670487241765,"x1","None"
"25%11",0.224489795918367,0.00675840967369218,"x1","None"
"25%12",0.244897959183673,0.0066962775189091,"x1","None"
"25%13",0.26530612244898,0.011607069814317,"x1","None"
"25%14",0.285714285714286,0.0140316503059207,"x1","None"
"25%15",0.306122448979592,0.00997335871608986,"x1","None"
"25%16",0.326530612244898,0.0135764894504021,"x1","None"
"25%17",0.346938775510204,0.0139820461676864,"x1","None"
"25%18",0.36734693877551,0.0189277813727686,"x1","None"
"25%19",0.387755102040816,0.015192875159344,"x1","None"
"25%20",0.408163265306122,0.0124270277488455,"x1","None"
"25%21",0.428571428571429,0.0195623348330794,"x1","None"
"25%22",0.448979591836735,0.0233970022817848,"x1","None"
"25%23",0.469387755102041,0.0203346943800312,"x1","None"
"25%24",0.489795918367347,0.021334388042421,"x1","None"
"25%25",0.510204081632653,0.026544866473844,"x1","None"
"25%26",0.530612244897959,0.0228051925106821,"x1","None"
"25%27",0.551020408163265,0.0326666788912138,"x1","None"
"25%28",0.571428571428571,0.0312957145897415,"x1","None"
"25%29",0.591836734693878,0.0381130910162043,"x1","None"
"25%30",0.612244897959184,0.0287637384008484,"x1","None"
"25%31",0.63265306122449,0.0347303553225879,"x1","None"
"25%32",0.653061224489796,0.031341780779685,"x1","None"
"25%33",0.673469387755102,0.0437858607735969,"x1","None"
"25%34",0.693877551020408,0.0409708135232459,"x1","None"
"25%35",0.714285714285714,0.0508080885759092,"x1","None"
"25%36",0.73469387755102,0.0421944242476594,"x1","None"
"25%37",0.755102040816326,0.0400904425122392,"x1","None"
"25%38",0.775510204081633,0.0552358269571078,"x1","None"
"25%39",0.795918367346939,0.0420061967616227,"x1","None"
"25%40",0.816326530612245,0.0438881703124324,"x1","None"
"25%41",0.836734693877551,0.0435342513312691,"x1","None"
"25%42",0.857142857142857,0.0565529209724138,"x1","None"
"25%43",0.877551020408163,0.0536816477924413,"x1","None"
"25%44",0.897959183673469,0.0587283443602946,"x1","None"
"25%45",0.918367346938775,0.0576751218779105,"x1","None"
"25%46",0.938775510204082,0.0514552427146151,"x1","None"
"25%47",0.959183673469388,0.0575502581441437,"x1","None"
"25%48",0.979591836734694,0.0653658339685909,"x1","None"
"25%49",1,0.029939724576955,"x1","None"
"25%50",0,0.216814620287432,"x2","None"
"25%110",0.0204081632653061,0.182700186531016,"x2","None"
"25%210",0.0408163265306122,0.168245380835696,"x2","None"
"25%310",0.0612244897959184,0.160367478975066,"x2","None"
"25%410",0.0816326530612245,0.127596882907354,"x2","None"
"25%51",0.102040816326531,0.10783673013699,"x2","None"
"25%61",0.122448979591837,0.107609205713395,"x2","None"
"25%71",0.142857142857143,0.0855432292632554,"x2","None"
"25%81",0.163265306122449,0.0768700457047694,"x2","None"
"25%91",0.183673469387755,0.0567679544930901,"x2","None"
"25%101",0.204081632653061,0.0412397974546932,"x2","None"
"25%111",0.224489795918367,0.0366517227186152,"x2","None"
"25%121",0.244897959183673,0.0362386133166819,"x2","None"
"25%131",0.26530612244898,0.018739740317615,"x2","None"
"25%141",0.285714285714286,0.0110611251170397,"x2","None"
"25%151",0.306122448979592,0.00654886315261202,"x2","None"
"25%161",0.326530612244898,0.0021922950996173,"x2","None"
"25%171",0.346938775510204,0.00101306691208718,"x2","None"
"25%181",0.36734693877551,9.05429288829958e-05,"x2","None"
"25%191",0.387755102040816,1.38909597172617e-05,"x2","None"
"25%201",0.408163265306122,2.67109146274267e-06,"x2","None"
"25%211",0.428571428571429,3.12810848702114e-06,"x2","None"
"25%221",0.448979591836735,2.63641898604139e-06,"x2","None"
"25%231",0.469387755102041,1.64558308866745e-06,"x2","None"
"25%241",0.489795918367347,2.13447651882643e-06,"x2","None"
"25%251",0.510204081632653,1.23550190466271e-06,"x2","None"
"25%261",0.530612244897959,8.2119321349555e-07,"x2","None"
"25%271",0.551020408163265,1.37319210086126e-06,"x2","None"
"25%281",0.571428571428571,1.29951727361647e-06,"x2","None"
"25%291",0.591836734693878,1.58414044191738e-06,"x2","None"
"25%301",0.612244897959184,7.96352540329767e-07,"x2","None"
"25%311",0.63265306122449,7.26482321647477e-07,"x2","None"
"25%321",0.653061224489796,4.53702249325005e-07,"x2","None"
"25%331",0.673469387755102,4.38812574034231e-07,"x2","None"
"25%341",0.693877551020408,8.91167685143318e-07,"x2","None"
"25%351",0.714285714285714,5.13287800099621e-07,"x2","None"
"25%361",0.73469387755102,3.83952625619124e-07,"x2","None"
"25%371",0.755102040816326,3.92149898186092e-07,"x2","None"
"25%381",0.775510204081633,5.37249667703157e-07,"x2","None"
"25%391",0.795918367346939,2.17286380284474e-07,"x2","None"
"25%401",0.816326530612245,3.64023157555004e-07,"x2","None"
"25%411",0.836734693877551,2.99189605296427e-07,"x2","None"
"25%421",0.857142857142857,4.94833695824946e-07,"x2","None"
"25%431",0.877551020408163,3.27975495985379e-07,"x2","None"
"25%441",0.897959183673469,2.06903114243403e-07,"x2","None"
"25%451",0.918367346938775,3.18058417696047e-07,"x2","None"
"25%461",0.938775510204082,2.2653040246972e-07,"x2","None"
"25%471",0.959183673469388,2.37939675419534e-07,"x2","None"
"25%481",0.979591836734694,2.26684737051817e-07,"x2","None"
"25%491",1,2.90423604356952e-07,"x2","None"
"1",0,1.07365360585108e-235,"x1","|x2"
"2",0.0204081632653061,0.00602272208500643,"x1","|x2"
"3",0.0408163265306122,0.0108399315612931,"x1","|x2"
"4",0.0612244897959184,0.0194363336455774,"x1","|x2"
"5",0.0816326530612245,0.0245640393782737,"x1","|x2"
"6",0.102040816326531,0.0335099217367845,"x1","|x2"
"7",0.122448979591837,0.0374110769258848,"x1","|x2"
"8",0.142857142857143,0.0426225306391091,"x1","|x2"
"9",0.163265306122449,0.0538330675268221,"x1","|x2"
"10",0.183673469387755,0.0672847033801782,"x1","|x2"
"11",0.204081632653061,0.0797534864123514,"x1","|x2"
"12",0.224489795918367,0.0811543006709892,"x1","|x2"
"13",0.244897959183673,0.0875019634409931,"x1","|x2"
"14",0.26530612244898,0.0908889738858237,"x1","|x2"
"15",0.285714285714286,0.0974574946390872,"x1","|x2"
"16",0.306122448979592,0.0993998682661501,"x1","|x2"
"17",0.326530612244898,0.114938276051985,"x1","|x2"
"18",0.346938775510204,0.110595142084327,"x1","|x2"
"19",0.36734693877551,0.145372532904176,"x1","|x2"
"20",0.387755102040816,0.118330392866887,"x1","|x2"
"21",0.408163265306122,0.121597465043464,"x1","|x2"
"22",0.428571428571429,0.159662763067318,"x1","|x2"
"23",0.448979591836735,0.148902122268358,"x1","|x2"
"24",0.469387755102041,0.168657131429956,"x1","|x2"
"25",0.489795918367347,0.179223759436808,"x1","|x2"
"26",0.510204081632653,0.186602777298634,"x1","|x2"
"27",0.530612244897959,0.184862911003463,"x1","|x2"
"28",0.551020408163265,0.185176795647687,"x1","|x2"
"29",0.571428571428571,0.20566478745359,"x1","|x2"
"30",0.591836734693878,0.198587666131868,"x1","|x2"
"31",0.612244897959184,0.201883306388452,"x1","|x2"
"32",0.63265306122449,0.19946096328519,"x1","|x2"
"33",0.653061224489796,0.210586487488461,"x1","|x2"
"34",0.673469387755102,0.21328556538143,"x1","|x2"
"35",0.693877551020408,0.237468144370583,"x1","|x2"
"36",0.714285714285714,0.22216014489722,"x1","|x2"
"37",0.73469387755102,0.258369798198925,"x1","|x2"
"38",0.755102040816326,0.243935096490767,"x1","|x2"
"39",0.775510204081633,0.240852341323301,"x1","|x2"
"40",0.795918367346939,0.239395858536513,"x1","|x2"
"41",0.816326530612245,0.236136072101403,"x1","|x2"
"42",0.836734693877551,0.284166402199124,"x1","|x2"
"43",0.857142857142857,0.293115420117353,"x1","|x2"
"44",0.877551020408163,0.276818024872873,"x1","|x2"
"45",0.897959183673469,0.273431791380747,"x1","|x2"
"46",0.918367346938775,0.280095139425321,"x1","|x2"
"47",0.938775510204082,0.272186575472776,"x1","|x2"
"48",0.959183673469388,0.288260710295671,"x1","|x2"
"49",0.979591836734694,0.287715230847617,"x1","|x2"
"50",1,0.150046885643093,"x1","|x2"
"110",0,2.32993532236333e-09,"x1","|x1, x2"
"210",0.0204081632653061,0.0349865034075457,"x1","|x1, x2"
"310",0.0408163265306122,0.0708677614008995,"x1","|x1, x2"
"410",0.0612244897959184,0.117305724758912,"x1","|x1, x2"
"52",0.0816326530612245,0.173483923699169,"x1","|x1, x2"
"61",0.102040816326531,0.217776999858325,"x1","|x1, x2"
"71",0.122448979591837,0.285992889686461,"x1","|x1, x2"
"81",0.142857142857143,0.349469155840203,"x1","|x1, x2"
"91",0.163265306122449,0.409123364966999,"x1","|x1, x2"
"101",0.183673469387755,0.460593008521421,"x1","|x1, x2"
"111",0.204081632653061,0.518718319554727,"x1","|x1, x2"
"121",0.224489795918367,0.578357336091789,"x1","|x1, x2"
"131",0.244897959183673,0.669919693248862,"x1","|x1, x2"
