<<<<<<< HEAD
"method","source","criteria","rate","err","typ2","typ2.err","typ1","typ1.err"
"GP","0paret","Pareto Distance",0.24223885023594,0.00428438081491725,0.0793556182033012,0.00270292996695943,0.189723327140954,0.0039208211675556
"GP","1adapt","Pareto Distance",0.114696702595993,0.00318655564849571,0.0340605009826269,0.00181384627946911,0.0968404125026239,0.00295740337135375
"GP","2rando","Pareto Distance",0.201770902961855,0.00401322072255953,0.0665188780433993,0.00249186911588965,0.154909526699696,0.00361818414729505
"GP","0paret","Threshold Cutoff",0.000905255187853012,0.000300738374820687,0.000213070864609166,0.000145953919240225,0.000907353852748574,0.000301086459631528
"GP","1adapt","Threshold Cutoff",0.000425563571239092,0.000206248022265894,9.02643195713413e-05,9.50032483254934e-05,0.00049494054231563,0.00022241752992406
"GP","2rando","Threshold Cutoff",0.000500382220413431,0.000223636275690445,9.15879882203394e-05,9.56972308171731e-05,0.000682465932463787,0.00026115133021197
"GP","0paret","Utopia Distance",0.0665151451346678,0.00249180417774716,0.00584929205641225,0.000762566576690262,0.173051802109004,0.00378292051060857
"GP","1adapt","Utopia Distance",0.0192887004875625,0.00137537800335266,0.00186522607827891,0.000431479664637375,0.0490288573497615,0.00215928294803479
"GP","2rando","Utopia Distance",0.0362417295468161,0.00186891055393969,0.00302186344730404,0.000548883574960108,0.0995795733961228,0.00299438611335227
=======
"","method","source","criteria","rate","err","typ2","typ2.err","typ1","typ1.err"
"1","GP","0paret","Pareto Distance",0.228838451195253,0.00420085008599225,0.0661006526243057,0.00248457956900049,0.197621104789102,0.00398204725902439
"2","GP","1adapt","Pareto Distance",0.114692827519284,0.00318650879231355,0.0340594495735112,0.00181381927071747,0.0968368725223685,0.00295735511297604
"3","GP","2rando","Pareto Distance",0.238366350561462,0.00426084303256377,0.0756200845303239,0.0026438927237305,0.192598306479068,0.00394340206953923
"4","GP","0paret","Threshold Cutoff",0.000905253540961588,0.0003007381015083,0.00021306931796144,0.000145953389623943,0.000907360217882043,0.000301087514738996
"5","GP","1adapt","Threshold Cutoff",0.000425563123330657,0.00020624791377338,9.02640886892029e-05,9.50031268345922e-05,0.000494940960590376,0.00022241762386014
"6","GP","2rando","Threshold Cutoff",0.0346195837694128,0.00182814299738957,0.0125641539651944,0.00111383553545096,1.00075762710844e-16,1.00037874183153e-10
"7","GP","0paret","Utopia Distance",0.0665149873035257,0.00249180143204746,0.00584918704747934,0.000762559771976134,0.173052564377715,0.00378292709868974
"8","GP","1adapt","Utopia Distance",0.0190917402087139,0.00136847527067598,0.00181781956248801,0.000425971254256229,0.0490878519119275,0.00216051463097569
"9","GP","2rando","Utopia Distance",0.0409614096119486,0.00198200838884579,0.00552420988394125,0.0007411945081488,0.0737134173545355,0.00261303940759514
>>>>>>> 8b5dd646b357717224c690ad50b6dfca26ff2f1c
