"","x1","x2","f1","f2","f1.norm","f2.norm"
"2",0.829128778153205,1.06016654313624,5.9426084996154,19.3208896586682,0,1
"6",0.680021261010019,1.13969555697474,7.53676633104556,17.7077382115547,0.0180704716990592,0.798962149020784
"11",0.780126934678116,1.202145487058,9.42548290158493,16.5412648013831,0.0394798946950601,0.653591230484332
"9",0.85927633409211,1.26139549462171,11.9894801795164,15.5893585828675,0.0685439179265361,0.534960595495561
"12",0.94745973958375,1.29495798793779,14.0347469836116,15.0530571907318,0.0917279058427581,0.46812441619879
"5",0.771595894040057,1.35338963821983,16.1424009503615,14.7207342613841,0.115619079355606,0.426708907650771
"18",0.981178622858492,1.34302617874472,16.6696941747266,14.4677594552871,0.121596177168718,0.395182102488969
"10",0.935376297716026,1.38949737379344,18.7396764178154,14.1101994247934,0.145060325325073,0.35062143817246
"17",1.07051291166596,1.39948435261366,20.6542599671481,13.8141573718505,0.166762961765194,0.313727408024447
"28",1.07542146464773,1.43968015574295,22.9835817288067,13.4986440912978,0.193166836050523,0.274406789993687
"29",1.08026421458365,1.43858940149907,22.9843707595084,13.4984881921621,0.19317578005637,0.274387361174857
"27",1.07189663910491,1.44053316865108,22.9870399697026,13.4984497101875,0.193206036713723,0.274382565386162
"26",1.07978407953354,1.43876019370315,22.9878486907658,13.4980604852541,0.193215203918373,0.274334058505857
"25",1.08560879676946,1.43754140684173,22.995348631945,13.4974001741949,0.19330021901045,0.274251767710063
"24",1.19798703796412,1.4864218558191,27.6219621055667,13.0127173341841,0.245744893050386,0.213848513733737
"7",1.1665762025653,1.49678093209793,27.6995116135738,13.0046893410507,0.246623950419794,0.212848030803196
"15",1.13238728464806,1.55279992430115,30.5709939432794,12.827397334704,0.279173450318899,0.190753140695071
"23",1.24128217691274,1.52256542555307,30.6175400534503,12.7581602887444,0.279701070702503,0.182124523119968
"3",1.31805752241068,1.5495370757266,33.8989637513865,12.524250911736,0.316897434134712,0.152973733489026
"20",1.4136858054524,1.5800849870201,38.1487658280503,12.2741308221517,0.365070787261272,0.121802695340852
"4",1.52182504997954,1.55182082035814,39.5004060816436,12.2688240676654,0.380392216838891,0.121141344839937
"8",1.45306718395063,1.65157756057815,43.6997543966909,12.0389572058995,0.427993654654792,0.0924943507939391
"22",1.50448960412466,1.62869966436856,43.7642034169533,12.0118373932535,0.428724212303302,0.0891145634447312
"21",1.61833346759806,1.68647793684393,51.078532001581,11.7681188821801,0.511635304969427,0.0587413174623264
"1",1.66666666666667,1.66666666666667,51.5648148148149,11.7435242405532,0.517147531952874,0.0556762277541507
"13",1.80552514740642,1.65790521071035,56.4930020404089,11.6463065705867,0.573010675508659,0.0435605448266466
"14",1.85172617587994,1.72113739422648,62.431249396025,11.5015264430028,0.640323289520915,0.0255174244698782
"16",2.05451264734446,1.7092776229829,71.4543366259956,11.4194137452056,0.742603903907163,0.0152841879484139
"19",2.33141727576829,1.8197976521172,94.1615469965643,11.2967716169355,1,0
