"x","var","p.pare","p.near","p.dist"
0,"x1",0.09,0.47,0.44
0,"x2",0,0,1
0.102040816326531,"x1",0.12,0.36,0.52
0.102040816326531,"x2",0,0,1
0.204081632653061,"x1",0.09,0.39,0.52
0.204081632653061,"x2",0,0,1
0.306122448979592,"x1",0.11,0.39,0.5
0.306122448979592,"x2",0,0,1
0.408163265306122,"x1",0.11,0.57,0.32
0.408163265306122,"x2",0,0,1
0.510204081632653,"x1",0.15,0.4264,0.4236
0.510204081632653,"x2",0,0,1
0.612244897959184,"x1",0.08,0.41,0.51
0.612244897959184,"x2",0,0,1
0.714285714285714,"x1",0.1,0.459,0.441
0.714285714285714,"x2",0,0,1
0.816326530612245,"x1",0.09,0.5,0.41
0.816326530612245,"x2",0,0,1
0.918367346938776,"x1",0.12,0.46,0.41
0.918367346938776,"x2",0,0.18,0.82
1.02040816326531,"x1",0.1,0.4196,0.4304
1.02040816326531,"x2",0,0.75,0.25
1.12244897959184,"x1",0.12,0.4184,0.3998
1.12244897959184,"x2",0,0.85,0.15
1.22448979591837,"x1",0.09,0.47,0.38
1.22448979591837,"x2",0,1,0
1.3265306122449,"x1",0.08,0.4503,0.4
1.3265306122449,"x2",0,0.95,0
1.42857142857143,"x1",0.1677,0.3524,0.4199
1.42857142857143,"x2",0,0.95,0
1.53061224489796,"x1",0.13,0.51,0.36
1.53061224489796,"x2",0,0.89,0
1.63265306122449,"x1",0.11,0.45,0.44
1.63265306122449,"x2",0,0.9598,0
1.73469387755102,"x1",0.1467,0.5433,0.31
1.73469387755102,"x2",0,0.9,0.1
1.83673469387755,"x1",0.15,0.46,0.39
1.83673469387755,"x2",0,0.9357,0.0643
1.93877551020408,"x1",0.14,0.47,0.39
1.93877551020408,"x2",0,0.93,0.07
2.04081632653061,"x1",0.22,0.43,0.35
2.04081632653061,"x2",0,0.96,0.04
2.14285714285714,"x1",0.2,0.46,0.34
2.14285714285714,"x2",0,0.97,0.03
2.24489795918367,"x1",0.17,0.44,0.39
2.24489795918367,"x2",0,0.9699,0.0301
2.3469387755102,"x1",0.18,0.49,0.33
2.3469387755102,"x2",0,0.95,0.05
2.44897959183673,"x1",0.15,0.5,0.35
2.44897959183673,"x2",0,0.93,0.07
2.55102040816327,"x1",0.25,0.43,0.32
2.55102040816327,"x2",0,0.87,0.13
2.6530612244898,"x1",0.27,0.49,0.24
2.6530612244898,"x2",0,0.92,0.08
2.75510204081633,"x1",0.24,0.57,0.19
2.75510204081633,"x2",0,1,0
2.85714285714286,"x1",0.33,0.48,0.19
2.85714285714286,"x2",0,1,0
2.95918367346939,"x1",0.32,0.46,0.22
2.95918367346939,"x2",0,0.888,0.112
3.06122448979592,"x1",0.29,0.47,0.24
3.06122448979592,"x2",0,0.8601,0.1399
3.16326530612245,"x1",0.34,0.35,0.31
3.16326530612245,"x2",0,0.82,0.18
3.26530612244898,"x1",0.24,0.4871,0.2729
3.26530612244898,"x2",0,0.6966,0.3034
3.36734693877551,"x1",0.34,0.4334,0.2266
3.36734693877551,"x2",0,0.6642,0.3358
3.46938775510204,"x1",0.21,0.6,0.19
3.46938775510204,"x2",0,0.6199,0.3801
3.57142857142857,"x1",0.28,0.51,0.21
3.57142857142857,"x2",0.2835,0.1699,0.5466
3.6734693877551,"x1",0.36,0.53,0.11
3.6734693877551,"x2",0.29,0.11,0.6
3.77551020408163,"x1",0.27,0.56,0.17
3.77551020408163,"x2",0.366,0.004,0.63
3.87755102040816,"x1",0.35,0.48,0.17
3.87755102040816,"x2",0.42,0,0.58
3.97959183673469,"x1",0.3011,0.5389,0.16
3.97959183673469,"x2",0.52,0,0.48
4.08163265306122,"x1",0.3,0.48,0.22
4.08163265306122,"x2",0.56,0,0.44
4.18367346938776,"x1",0.31,0.57,0.12
4.18367346938776,"x2",0.67,0,0.33
4.28571428571429,"x1",0.24,0.5,0.26
4.28571428571429,"x2",0.61,0,0.39
4.38775510204082,"x1",0.17,0.58,0.25
4.38775510204082,"x2",0.6699,0.05,0.2801
4.48979591836735,"x1",0.1999,0.5801,0.22
4.48979591836735,"x2",0.9203,0.0697,0.01
4.59183673469388,"x1",0.19,0.5107,0.2993
4.59183673469388,"x2",1,0,0
4.69387755102041,"x1",0.279,0.4323,0.2887
4.69387755102041,"x2",0.9557,0.0443,0
4.79591836734694,"x1",0.207,0.38,0.413
4.79591836734694,"x2",0.9759,0.0241,0
4.89795918367347,"x1",0.1807,0.3293,0.49
4.89795918367347,"x2",0.733,0.007,0.26
5,"x1",0.1354,0.3846,0.48
5,"x2",0.7173,0.1527,0.13
