"adapt","method","typ","class","unc.min","unc.med","unc.max","ptl","n","adapt.n","unc.min.n","unc.med.n","unc.max.n"
0.1147,"SVM-rad","Total","Pareto Distance",0.1147,0.1147,0.1147,NA,0,1,1,1,1
0.2025,"SVM-lin","Total","Pareto Distance",0.2025,0.2025,0.2025,NA,0,1,1,1,1
0.1332,"SVM-pol","Total","Pareto Distance",0.1332,0.1332,0.1332,NA,0,1,1,1,1
0.12300130592503,"SVM-rad","False Positive","Pareto Distance",0.12300130592503,0.12300130592503,0.12300130592503,NA,0,1,1,1,1
0.206701617986972,"SVM-lin","False Positive","Pareto Distance",0.206701617986972,0.206701617986972,0.206701617986972,NA,0,1,1,1,1
0.152048425720621,"SVM-pol","False Positive","Pareto Distance",0.152048425720621,0.152048425720621,0.152048425720621,NA,0,1,1,1,1
0.0214864791133845,"SVM-rad","False Negative","Pareto Distance",0.0214864791133845,0.0214864791133845,0.0214864791133845,NA,0,1,1,1,1
0.0329475290975005,"SVM-lin","False Negative","Pareto Distance",0.0329475290975005,0.0329475290975005,0.0329475290975005,NA,0,1,1,1,1
0.0165965755919854,"SVM-pol","False Negative","Pareto Distance",0.0165965755919854,0.0165965755919854,0.0165965755919854,NA,0,1,1,1,1
0.134,"SVM-rad","Total","Threshold Cutoff",0.134,0.134,0.134,NA,0,1,1,1,1
0.2323,"SVM-lin","Total","Threshold Cutoff",0.2323,0.2323,0.2323,NA,0,1,1,1,1
0.1252,"SVM-pol","Total","Threshold Cutoff",0.1252,0.1252,0.1252,NA,0,1,1,1,1
0.226177860366339,"SVM-rad","False Positive","Threshold Cutoff",0.226177860366339,0.226177860366339,0.226177860366339,NA,0,1,1,1,1
0.328215202261853,"SVM-lin","False Positive","Threshold Cutoff",0.328215202261853,0.328215202261853,0.328215202261853,NA,0,1,1,1,1
0.203097193802982,"SVM-pol","False Positive","Threshold Cutoff",0.203097193802982,0.203097193802982,0.203097193802982,NA,0,1,1,1,1
0.00724883683619445,"SVM-rad","False Negative","Threshold Cutoff",0.00724883683619445,0.00724883683619445,0.00724883683619445,NA,0,1,1,1,1
0.0122399111440207,"SVM-lin","False Negative","Threshold Cutoff",0.0122399111440207,0.0122399111440207,0.0122399111440207,NA,0,1,1,1,1
0.0122695698434413,"SVM-pol","False Negative","Threshold Cutoff",0.0122695698434413,0.0122695698434413,0.0122695698434413,NA,0,1,1,1,1
0.2401,"SVM-rad","Total","Utopia Distance",0.2401,0.2401,0.2401,NA,0,1,1,1,1
0.312,"SVM-lin","Total","Utopia Distance",0.312,0.312,0.312,NA,0,1,1,1,1
0.3374,"SVM-pol","Total","Utopia Distance",0.3374,0.3374,0.3374,NA,0,1,1,1,1
1,"SVM-rad","False Positive","Utopia Distance",1,1,1,NA,0,1,1,1,1
1,"SVM-lin","False Positive","Utopia Distance",1,1,1,NA,0,1,1,1,1
1,"SVM-pol","False Positive","Utopia Distance",1,1,1,NA,0,1,1,1,1
1e-08,"SVM-rad","False Negative","Utopia Distance",1e-08,1e-08,1e-08,NA,0,1,1,1,1
1e-08,"SVM-lin","False Negative","Utopia Distance",1e-08,1e-08,1e-08,NA,0,1,1,1,1
1e-08,"SVM-pol","False Negative","Utopia Distance",1e-08,1e-08,1e-08,NA,0,1,1,1,1
0.3873,"SVM-rad","Total","Pareto Distance",0.369,0.415,0.471,0.873,5,3.37663469921534,3.21708805579773,3.61813426329555,4.10636442894507
0.4578,"SVM-lin","Total","Pareto Distance",0.369,0.415,0.471,0.201333333333333,5,2.26074074074074,1.82222222222222,2.04938271604938,2.32592592592593
0.4182,"SVM-pol","Total","Pareto Distance",0.369,0.415,0.471,0.439666666666667,5,3.13963963963964,2.77027027027027,3.11561561561561,3.53603603603604
1,"SVM-rad","False Positive","Pareto Distance",1,1,1,0,5,8.12999498240697,8.12999498240697,8.12999498240697,8.12999498240697
1,"SVM-lin","False Positive","Pareto Distance",1,1,1,0,5,4.83789149663564,4.83789149663564,4.83789149663564,4.83789149663564
1,"SVM-pol","False Positive","Pareto Distance",1,1,1,0,5,6.57685204736967,6.57685204736967,6.57685204736967,6.57685204736967
1e-08,"SVM-rad","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,5,4.6540896473684e-07,4.6540896473684e-07,4.6540896473684e-07,4.6540896473684e-07
1e-08,"SVM-lin","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,5,3.03512896836887e-07,3.03512896836887e-07,3.03512896836887e-07,3.03512896836887e-07
1e-08,"SVM-pol","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,5,6.02533935062426e-07,6.02533935062426e-07,6.02533935062426e-07,6.02533935062426e-07
0.3801,"SVM-rad","Total","Threshold Cutoff",0.31,0.355,0.453,0.338333333333333,5,2.8365671641791,2.3134328358209,2.64925373134328,3.38059701492537
0.4723,"SVM-lin","Total","Threshold Cutoff",0.31,0.355,0.453,0.001,5,2.03314679294016,1.33448127421438,1.52819629789066,1.95006457167456
0.3421,"SVM-pol","Total","Threshold Cutoff",0.31,0.355,0.453,0.620666666666667,5,2.73242811501597,2.47603833865815,2.83546325878594,3.61821086261981
1,"SVM-rad","False Positive","Threshold Cutoff",1,1,1,0,5,4.42129923052727,4.42129923052727,4.42129923052727,4.42129923052727
1,"SVM-lin","False Positive","Threshold Cutoff",1,1,1,0,5,3.04678148089616,3.04678148089616,3.04678148089616,3.04678148089616
1,"SVM-pol","False Positive","Threshold Cutoff",1,1,1,0,5,4.92375094542207,4.92375094542207,4.92375094542207,4.92375094542207
