"var","model","cat","rsq"
"x1","GP","paret",0.86700218069991
"x2","GP","paret",0.890182493585614
"x3","GP","paret",0.716396844517662
"agg","GP","paret",0.796785940372809
"x1","SVM-rad","paret",0.396033734867417
"x2","SVM-rad","paret",0.0368990675600814
"x3","SVM-rad","paret",0.0337228580430796
"agg","SVM-rad","paret",0.0660881263723526
"x1","SVM-lin","paret",0.0320725804146482
"x2","SVM-lin","paret",0.000876532563904842
"x3","SVM-lin","paret",0.00859449611744091
"agg","SVM-lin","paret",0.00338190812227491
"x1","SVM-pol","paret",0.0464745767761481
"x2","SVM-pol","paret",0.0474803423123451
"x3","SVM-pol","paret",0.000652257216094107
"agg","SVM-pol","paret",0.0180062231504445
"x1","SVM-sig","paret",0.00278465496343336
"x2","SVM-sig","paret",0.00277285124740768
"x3","SVM-sig","paret",0.0522471035329745
"agg","SVM-sig","paret",0.00312907587519516
"x1","GP","adapt",0.956322423660791
"x2","GP","adapt",0.996851230312827
"x3","GP","adapt",0.994576633973558
"agg","GP","adapt",0.990100142613229
"x1","SVM-rad","adapt",0.187468455814551
"x2","SVM-rad","adapt",0.0286870557316202
"x3","SVM-rad","adapt",0.0220275912227532
"agg","SVM-rad","adapt",0.0431262913998146
"x1","SVM-lin","adapt",0.00744911972092003
"x2","SVM-lin","adapt",0.0202502432536195
"x3","SVM-lin","adapt",0.053155619641907
"agg","SVM-lin","adapt",0.0156802196798311
"x1","SVM-pol","adapt",0.0064180593739768
"x2","SVM-pol","adapt",0.00645245105203474
"x3","SVM-pol","adapt",7.10709378025868e-06
"agg","SVM-pol","adapt",0.0021541096189375
"x1","SVM-sig","adapt",0.000556228609742297
"x2","SVM-sig","adapt",0.018569445387142
"x3","SVM-sig","adapt",0.00418065690884111
"agg","SVM-sig","adapt",0.000827904152418192
"x1","GP","rando",0.920127634639643
"x2","GP","rando",0.985019997124669
"x3","GP","rando",0.973726911646127
"agg","GP","rando",0.964158446060222
"x1","SVM-rad","rando",0.00300444042082373
"x2","SVM-rad","rando",0.0153777913944293
"x3","SVM-rad","rando",4.26521679303474e-05
"agg","SVM-rad","rando",0.00403163011311554
"x1","SVM-lin","rando",0.00308451755877291
"x2","SVM-lin","rando",0.0030619274282544
"x3","SVM-lin","rando",0.0411011125269451
"agg","SVM-lin","rando",0.00286738496281217
"x1","SVM-pol","rando",0.0480228047300127
"x2","SVM-pol","rando",0.000302574187900421
"x3","SVM-pol","rando",0.00010381046255463
"agg","SVM-pol","rando",0.00303800261085506
"x1","SVM-sig","rando",0.00535144430670855
"x2","SVM-sig","rando",0.00253178830720692
"x3","SVM-sig","rando",0.0290455635100369
"agg","SVM-sig","rando",0.00386570004044165
