"var","model","cat","rsq"
"x1","GP","paret",0.271027705743979
"x2","GP","paret",0.887199173906106
"x3","GP","paret",0.796076858025098
"agg","GP","paret",0.831498277777578
"x1","SVM-rad","paret",0.867898274199064
"x2","SVM-rad","paret",0.0595061262094628
"x3","SVM-rad","paret",0.0776693405126653
"agg","SVM-rad","paret",0.0697214730228918
"x1","SVM-lin","paret",0.00830724627480978
"x2","SVM-lin","paret",0.000746410987225952
"x3","SVM-lin","paret",0.0297298150825832
"agg","SVM-lin","paret",0.0150766524944002
"x1","SVM-pol","paret",0.0574213628768925
"x2","SVM-pol","paret",0.0310616056108762
"x3","SVM-pol","paret",0.0349871371206659
"agg","SVM-pol","paret",0.0318808409136487
"x1","SVM-sig","paret",1.00516227732277e-05
"x2","SVM-sig","paret",0.00523607517096882
"x3","SVM-sig","paret",0.0275697501575314
"agg","SVM-sig","paret",0.00115726843577602
"x1","GP","adapt",0.670855701895095
"x2","GP","adapt",0.993444658308518
"x3","GP","adapt",0.988350599694773
"agg","GP","adapt",0.98885462938939
"x1","SVM-rad","adapt",0.579373181143808
"x2","SVM-rad","adapt",0.0690486445217016
"x3","SVM-rad","adapt",0.0529069787204837
"agg","SVM-rad","adapt",0.0618225178754428
"x1","SVM-lin","adapt",0.0121953954180505
"x2","SVM-lin","adapt",0.00026921158872242
"x3","SVM-lin","adapt",0.00499272626878398
"agg","SVM-lin","adapt",0.000212480730337239
"x1","SVM-pol","adapt",0.105917695197924
"x2","SVM-pol","adapt",0.0161290725475119
"x3","SVM-pol","adapt",0.0157748422263479
"agg","SVM-pol","adapt",0.015288708247291
"x1","SVM-sig","adapt",0.223013568695065
"x2","SVM-sig","adapt",0.0168785887329131
"x3","SVM-sig","adapt",0.0475538253570022
"agg","SVM-sig","adapt",0.00931492476890849
"x1","GP","rando",0.064647806026715
"x2","GP","rando",0.941823290049598
"x3","GP","rando",0.918637015289976
"agg","GP","rando",0.9204355125882
"x1","SVM-rad","rando",0.217983554874238
"x2","SVM-rad","rando",0.0761625359006864
"x3","SVM-rad","rando",0.061865160821708
"agg","SVM-rad","rando",0.0599931080664893
"x1","SVM-lin","rando",0.05413603925588
"x2","SVM-lin","rando",0.000296459718481857
"x3","SVM-lin","rando",0.00367806623045519
"agg","SVM-lin","rando",0.000905030352940644
"x1","SVM-pol","rando",0.176577459272094
"x2","SVM-pol","rando",0.0177516842547453
"x3","SVM-pol","rando",0.0287992282573817
"agg","SVM-pol","rando",0.0218135014218956
"x1","SVM-sig","rando",0.0407962405071778
"x2","SVM-sig","rando",0.0083278492044867
"x3","SVM-sig","rando",0.0218274872664946
"agg","SVM-sig","rando",0.000545730741354767
