"","prob","err","class","typ","cat"
"1",0.0546579832666677,0.00101529930608438,"Pareto Distance","Total","paret"
"2",0.340233324287265,0.00211619858366842,"Pareto Distance","False Positive","paret"
"3",0.00246591079562839,0.00022152633432513,"Pareto Distance","False Negative","paret"
"4",0.0276320443151632,0.000732140842535975,"Threshold Cutoff","Total","paret"
"5",0.177769297549972,0.00170764672711006,"Threshold Cutoff","False Positive","paret"
"6",0.00109672520904021,0.000147837101350716,"Threshold Cutoff","False Negative","paret"
"7",0.0476863956843657,0.000951831450019844,"Utopia Distance","Total","paret"
"8",0.489003910310386,0.0022327379879698,"Utopia Distance","False Positive","paret"
"9",0.00111468942142005,0.000149041619246462,"Utopia Distance","False Negative","paret"
"10",0.0251326623302518,0.000699141070669692,"Pareto Distance","Total","adapt"
"11",0.156889979741964,0.0016244731445847,"Pareto Distance","False Positive","adapt"
"12",0.00103167507597269,0.000143390419551511,"Pareto Distance","False Negative","adapt"
"13",0.0115657232582331,0.000477565674688665,"Threshold Cutoff","Total","adapt"
"14",0.0638706593073215,0.00109217299870106,"Threshold Cutoff","False Positive","adapt"
"15",0.000453995557709673,9.51480742043844e-05,"Threshold Cutoff","False Negative","adapt"
"16",0.0224943263440204,0.000662321642129335,"Utopia Distance","Total","adapt"
"17",0.226806722542815,0.00187044440104498,"Utopia Distance","False Positive","adapt"
"18",0.000570335211314144,0.000106638497543438,"Utopia Distance","False Negative","adapt"
"19",0.0403845306403995,0.000879283547903093,"Pareto Distance","Total","rando"
"20",0.227285270204814,0.00187183708902115,"Pareto Distance","False Positive","rando"
"21",0.00195037763259864,0.000197064424048872,"Pareto Distance","False Negative","rando"
"22",0.0187578763345054,0.00060597224548057,"Threshold Cutoff","Total","rando"
"23",0.106718974648136,0.0013790743586721,"Threshold Cutoff","False Positive","rando"
"24",0.000752069574028412,0.000122444264108825,"Threshold Cutoff","False Negative","rando"
"25",0.029311444295043,0.000753409984044204,"Utopia Distance","Total","rando"
"26",0.271774255148724,0.00198705541309367,"Utopia Distance","False Positive","rando"
"27",0.000867000031770988,0.000131460117329164,"Utopia Distance","False Negative","rando"
