adapt,class,typ,mod,n,unc.min,unc.med,unc.max,ptl,adapt.n,unc.min.n,unc.med.n,unc.max.n
0.591111111111111,Pareto Distance,Total,rad,0,0.591111111111111,0.591111111111111,0.591111111111111,NA,1,1,1,1
0.739555555555556,Pareto Distance,Total,lin,0,0.739555555555556,0.739555555555556,0.739555555555556,NA,1,1,1,1
0.863111111111111,Pareto Distance,Total,pol,0,0.863111111111111,0.863111111111111,0.863111111111111,NA,1,1,1,1
0.931555555555556,Pareto Distance,Total,sig,0,0.931555555555556,0.931555555555556,0.931555555555556,NA,1,1,1,1
0.8389076597033,Pareto Distance,False Positive,rad,0,0.8389076597033,0.8389076597033,0.8389076597033,NA,1,1,1,1
0.863136220966729,Pareto Distance,False Positive,lin,0,0.863136220966729,0.863136220966729,0.863136220966729,NA,1,1,1,1
0.863111111111111,Pareto Distance,False Positive,pol,0,0.863111111111111,0.863111111111111,0.863111111111111,NA,1,1,1,1
0.86779575308642,Pareto Distance,False Positive,sig,0,0.86779575308642,0.86779575308642,0.86779575308642,NA,1,1,1,1
0.000700198920148,Pareto Distance,False Negative,rad,0,0.000700198920148,0.000700198920148,0.000700198920148,NA,1,1,1,1
0.003422222222222,Pareto Distance,False Negative,lin,0,0.003422222222222,0.003422222222222,0.003422222222222,NA,1,1,1,1
1E-08,Pareto Distance,False Negative,pol,0,1E-08,1E-08,1E-08,NA,1,1,1,1
1E-08,Pareto Distance,False Negative,sig,0,1E-08,1E-08,1E-08,NA,1,1,1,1
0.371555555555556,Threshold Cutoff,Total,rad,0,0.371555555555556,0.371555555555556,0.371555555555556,NA,1,1,1,1
0.142222222222222,Threshold Cutoff,Total,lin,0,0.142222222222222,0.142222222222222,0.142222222222222,NA,1,1,1,1
0.097777777777778,Threshold Cutoff,Total,pol,0,0.097777777777778,0.097777777777778,0.097777777777778,NA,1,1,1,1
0.097777777777778,Threshold Cutoff,Total,sig,0,0.097777777777778,0.097777777777778,0.097777777777778,NA,1,1,1,1
0.857374918778428,Threshold Cutoff,False Positive,rad,0,0.857374918778428,0.857374918778428,0.857374918778428,NA,1,1,1,1
0.902222222222222,Threshold Cutoff,False Positive,lin,0,0.902222222222222,0.902222222222222,0.902222222222222,NA,1,1,1,1
1E-08,Threshold Cutoff,False Positive,pol,0,1E-08,1E-08,1E-08,NA,1,1,1,1
1E-08,Threshold Cutoff,False Positive,sig,0,1E-08,1E-08,1E-08,NA,1,1,1,1
0.011613452532993,Threshold Cutoff,False Negative,rad,0,0.011613452532993,0.011613452532993,0.011613452532993,NA,1,1,1,1
0.010005167958656,Threshold Cutoff,False Negative,lin,0,0.010005167958656,0.010005167958656,0.010005167958656,NA,1,1,1,1
0.00956049382716,Threshold Cutoff,False Negative,pol,0,0.00956049382716,0.00956049382716,0.00956049382716,NA,1,1,1,1
0.00956049382716,Threshold Cutoff,False Negative,sig,0,0.00956049382716,0.00956049382716,0.00956049382716,NA,1,1,1,1
0.614222222222222,Utopia Distance,Total,rad,0,0.614222222222222,0.614222222222222,0.614222222222222,NA,1,1,1,1
0.741333333333333,Utopia Distance,Total,lin,0,0.741333333333333,0.741333333333333,0.741333333333333,NA,1,1,1,1
0.925333333333333,Utopia Distance,Total,pol,0,0.925333333333333,0.925333333333333,0.925333333333333,NA,1,1,1,1
0.960888888888889,Utopia Distance,Total,sig,0,0.960888888888889,0.960888888888889,0.960888888888889,NA,1,1,1,1
0.904520236471123,Utopia Distance,False Positive,rad,0,0.904520236471123,0.904520236471123,0.904520236471123,NA,1,1,1,1
0.915709480122324,Utopia Distance,False Positive,lin,0,0.915709480122324,0.915709480122324,0.915709480122324,NA,1,1,1,1
0.921921966205837,Utopia Distance,False Positive,pol,0,0.921921966205837,0.921921966205837,0.921921966205837,NA,1,1,1,1
0.923307456790123,Utopia Distance,False Positive,sig,0,0.923307456790123,0.923307456790123,0.923307456790123,NA,1,1,1,1
9.97732426303855E-05,Utopia Distance,False Negative,rad,0,9.97732426303855E-05,9.97732426303855E-05,9.97732426303855E-05,NA,1,1,1,1
0.000463768115942,Utopia Distance,False Negative,lin,0,0.000463768115942,0.000463768115942,0.000463768115942,NA,1,1,1,1
1E-08,Utopia Distance,False Negative,pol,0,1E-08,1E-08,1E-08,NA,1,1,1,1
1E-08,Utopia Distance,False Negative,sig,0,1E-08,1E-08,1E-08,NA,1,1,1,1
0.602666666666667,Pareto Distance,Total,rad,3,0.555555555555556,0.608888888888889,0.653333333333333,0.624,1.01954887218045,0.93984962406015,1.03007518796992,1.10526315789474
0.765333333333333,Pareto Distance,Total,lin,3,0.568888888888889,0.76,0.946666666666667,0.488,1.03485576923077,0.769230769230769,1.02764423076923,1.28004807692308
0.880888888888889,Pareto Distance,Total,pol,3,0.831111111111111,0.862222222222222,0.893333333333333,0.093,1.02059732234809,0.962924819773429,0.998970133882595,1.03501544799176
0.939555555555556,Pareto Distance,Total,sig,3,0.804,0.946666666666667,0.968888888888889,0.745,1.00858778625954,0.863072519083969,1.0162213740458,1.04007633587786
0.86019255222525,Pareto Distance,False Positive,rad,3,0.820350571498651,0.878456790123457,0.923370618941089,0.763,1.02537215184026,0.977879462667903,1.04714360390289,1.10068206942783
0.876918518518519,Pareto Distance,False Positive,lin,3,0.847364918707024,0.895362472321171,0.9351042458327,0.793,1.01596769689071,0.981727910523739,1.03733622871063,1.08337968343556
0.879225264924982,Pareto Distance,False Positive,pol,3,0.848155339805825,0.899573070607553,0.93596548004315,0.806,1.0186698486515,0.982672252607161,1.04224480374202,1.08440902682651
0.882764641975309,Pareto Distance,False Positive,sig,3,0.854597530864197,0.904612345679012,0.938745679012346,0.809,1.01724932259192,0.984791096089971,1.04242541227201,1.08175878445312
0.000927536231884,Pareto Distance,False Negative,rad,3,0,0,0.001039130803837,0.033,1.32467532467532,0,0,1.48405085174566
0.002014814814815,Pareto Distance,False Negative,lin,3,0,0,0.003977594588882,0.153,0.588744588744589,0,0,1.16228413311482
0,Pareto Distance,False Negative,pol,3,0,0,0,0.001,0,0,0,0
0,Pareto Distance,False Negative,sig,3,0,0,0.003034691174035,0.043,0,0,0,303469.117403543
0.197333333333333,Threshold Cutoff,Total,rad,3,0.284444444444444,0.328888888888889,0.373333333333333,1,0.5311004784689,0.76555023923445,0.885167464114833,1.00478468899522
0.090666666666667,Threshold Cutoff,Total,lin,3,0.346666666666667,0.4,0.444444444444444,1,0.6375,2.4375,2.8125,3.125
0.090666666666667,Threshold Cutoff,Total,pol,3,0.044444444444444,0.066666666666667,0.093333333333333,0.037,0.927272727272727,0.454545454545455,0.681818181818182,0.954545454545455
0.090666666666667,Threshold Cutoff,Total,sig,3,0.36,0.413333333333333,0.462222222222222,1,0.927272727272727,3.68181818181818,4.22727272727273,4.72727272727273
0.88768253968254,Threshold Cutoff,False Positive,rad,3,0.839975124378109,0.88781389748882,0.92608367071525,0.501,1.03534932063011,0.979705734306867,1.03550252992444,1.08013851400589
0,Threshold Cutoff,False Positive,lin,3,0.859561438561439,0.900767713858289,0.931961591220851,1,0,0.952715880178934,0.998387860187759,1.03296235480144
0,Threshold Cutoff,False Positive,pol,3,0,0,0,0,0,0,0,0
0,Threshold Cutoff,False Positive,sig,3,0.860397739104566,0.902168674698795,0.932581086519115,1,0,86039773.9104566,90216867.4698795,93258108.6519115
0.008984984984985,Threshold Cutoff,False Negative,rad,3,0.001794303797468,0.004696016771488,0.010125221817503,0.048,0.773670444638187,0.154502185493151,0.40436009516959,0.871852861045217
0.008220444444444,Threshold Cutoff,False Negative,lin,3,0.002028118419423,0.005333333333333,0.011296072186837,0.133,0.821619834710744,0.202707083759455,0.533057851239669,1.12902374388061
0.008220444444444,Threshold Cutoff,False Negative,pol,3,0.001975308641975,0.004444444444444,0.008711111111111,0.037,0.859834710743802,0.206611570247934,0.464876033057851,0.911157024793388
0.008220444444444,Threshold Cutoff,False Negative,sig,3,0.002073692810458,0.005496618257974,0.011587150014736,0.142,0.859834710743802,0.216902269688867,0.574930370475038,1.21198237499178
0.635555555555556,Utopia Distance,Total,rad,3,0.657777777777778,0.737777777777778,0.813444444444444,0.995,1.03473227206946,1.07091172214182,1.20115774240232,1.3243487698987
0.751111111111111,Utopia Distance,Total,lin,3,0.884333333333333,0.968888888888889,0.982222222222222,0.999,1.01318944844125,1.19289568345324,1.30695443645084,1.32494004796163
0.933333333333333,Utopia Distance,Total,pol,3,0.919888888888889,0.942222222222222,0.96,0.733,1.00864553314121,0.99411623439001,1.01825168107589,1.03746397694524
