"","prob","err","class","typ","mod","cat"
"1",0.77368578553616,0.0018690074488347,"Pareto Distance","Total","rad","paret"
"2",0.839201995012469,0.00164076502185683,"Pareto Distance","Total","lin","paret"
"3",0.929995012468828,0.00113966604245185,"Pareto Distance","Total","pol","paret"
"4",0.929995012468828,0.00113966604245185,"Pareto Distance","Total","sig","paret"
"5",0.868277369521856,0.00151054005369824,"Pareto Distance","False Positive","rad","paret"
"6",0.865686846713005,0.00152304413731561,"Pareto Distance","False Positive","lin","paret"
"7",0.864890723216895,0.00152684872682872,"Pareto Distance","False Positive","pol","paret"
"8",0.864890723216895,0.00152684872682872,"Pareto Distance","False Positive","sig","paret"
"9",0.00599725435222098,0.000344860007520656,"Pareto Distance","False Negative","rad","paret"
"10",0.0053990094453515,0.000327306247112262,"Pareto Distance","False Negative","lin","paret"
"11",0,0,"Pareto Distance","False Negative","pol","paret"
"12",0,0,"Pareto Distance","False Negative","sig","paret"
"13",0.778094763092269,0.0018559780221668,"Threshold Cutoff","Total","rad","paret"
"14",0.820967581047382,0.00171238593033109,"Threshold Cutoff","Total","lin","paret"
"15",0.948648379052369,0.000985831112320254,"Threshold Cutoff","Total","pol","paret"
"16",0.948648379052369,0.000985831112320254,"Threshold Cutoff","Total","sig","paret"
"17",0.901380086116888,0.00133170826838905,"Threshold Cutoff","False Positive","rad","paret"
"18",0.89846837392969,0.00134904014997367,"Threshold Cutoff","False Positive","lin","paret"
"19",0.899933747078687,0.00134036134590937,"Threshold Cutoff","False Positive","pol","paret"
"20",0.899933747078687,0.00134036134590937,"Threshold Cutoff","False Positive","sig","paret"
"21",0.00296473921249644,0.000242840609811318,"Threshold Cutoff","False Negative","rad","paret"
"22",0.00214700362495822,0.000206739032210308,"Threshold Cutoff","False Negative","lin","paret"
"23",0,0,"Threshold Cutoff","False Negative","pol","paret"
"24",0,0,"Threshold Cutoff","False Negative","sig","paret"
"25",0.374543640897756,0.0021618349182308,"Utopia Distance","Total","rad","paret"
"26",0.156309226932668,0.00162202209017481,"Utopia Distance","Total","lin","paret"
"27",0.0460448877805486,0.00093611129727948,"Utopia Distance","Total","pol","paret"
"28",0.0470224438902743,0.00094551133995434,"Utopia Distance","Total","sig","paret"
"29",0.920350732066751,0.00120931762503627,"Utopia Distance","False Positive","rad","paret"
"30",0.912362354230032,0.00126299559839826,"Utopia Distance","False Positive","lin","paret"
"31",0,0,"Utopia Distance","False Positive","pol","paret"
"32",0.93525011001907,0.00109914808750781,"Utopia Distance","False Positive","sig","paret"
"33",0.00239238502429558,0.000218206770922972,"Utopia Distance","False Negative","rad","paret"
"34",0.00213559679200003,0.000206190286582898,"Utopia Distance","False Negative","lin","paret"
"35",0.00212013169072332,0.000205443950033173,"Utopia Distance","False Negative","pol","paret"
"36",0.00212137149238578,0.000205503882914191,"Utopia Distance","False Negative","sig","paret"
"37",0.737695760598504,0.00196478080173662,"Pareto Distance","Total","rad","adapt"
"38",0.807441396508728,0.00176120446041248,"Pareto Distance","Total","lin","adapt"
"39",0.930952618453865,0.00113242696712215,"Pareto Distance","Total","pol","adapt"
"40",0.930952618453865,0.00113242696712215,"Pareto Distance","Total","sig","adapt"
"41",0.870022102714379,0.00150200958322055,"Pareto Distance","False Positive","rad","adapt"
"42",0.865815788641052,0.00152242626137203,"Pareto Distance","False Positive","lin","adapt"
"43",0.866672777806108,0.00151830772061623,"Pareto Distance","False Positive","pol","adapt"
"44",0.866672777806108,0.00151830772061623,"Pareto Distance","False Positive","sig","adapt"
"45",0.00559617649932775,0.000333196094013208,"Pareto Distance","False Negative","rad","adapt"
"46",0.00438179688277543,0.000295015845175829,"Pareto Distance","False Negative","lin","adapt"
"47",0,0,"Pareto Distance","False Negative","pol","adapt"
"48",0,0,"Pareto Distance","False Negative","sig","adapt"
"49",0.783361596009975,0.00184001629563791,"Threshold Cutoff","Total","rad","adapt"
"50",0.923690773067332,0.00118583601678536,"Threshold Cutoff","Total","lin","adapt"
"51",0.948568578553616,0.000986555309266624,"Threshold Cutoff","Total","pol","adapt"
"52",0.948568578553616,0.000986555309266624,"Threshold Cutoff","Total","sig","adapt"
"53",0.900956399643821,0.0013342521275395,"Threshold Cutoff","False Positive","rad","adapt"
