"x","var","prob","mod","class","cat"
0,"x1",1,"rad","Pareto Distance","paret"
0,"x1",1,"lin","Pareto Distance","paret"
0,"x1",1,"pol","Pareto Distance","paret"
0,"x1",1,"sig","Pareto Distance","paret"
0,"x1",0.878,"rad","Utopia Distance","paret"
0,"x1",0.902,"lin","Utopia Distance","paret"
0,"x1",1,"pol","Utopia Distance","paret"
0,"x1",1,"sig","Utopia Distance","paret"
0,"x1",0.804666666666667,"rad","Threshold Cutoff","paret"
0,"x1",1,"lin","Threshold Cutoff","paret"
0,"x1",1,"pol","Threshold Cutoff","paret"
0,"x1",1,"sig","Threshold Cutoff","paret"
0,"x2",1,"rad","Pareto Distance","paret"
0,"x2",1,"lin","Pareto Distance","paret"
0,"x2",1,"pol","Pareto Distance","paret"
0,"x2",1,"sig","Pareto Distance","paret"
0,"x2",0.175333333333333,"rad","Utopia Distance","paret"
0,"x2",0.204666666666667,"lin","Utopia Distance","paret"
0,"x2",1,"pol","Utopia Distance","paret"
0,"x2",0.284666666666667,"sig","Utopia Distance","paret"
0,"x2",0.688,"rad","Threshold Cutoff","paret"
0,"x2",1,"lin","Threshold Cutoff","paret"
0,"x2",1,"pol","Threshold Cutoff","paret"
0,"x2",1,"sig","Threshold Cutoff","paret"
0,"x3",1,"rad","Pareto Distance","paret"
0,"x3",1,"lin","Pareto Distance","paret"
0,"x3",1,"pol","Pareto Distance","paret"
0,"x3",1,"sig","Pareto Distance","paret"
0,"x3",0,"rad","Utopia Distance","paret"
0,"x3",0.0666666666666667,"lin","Utopia Distance","paret"
0,"x3",1,"pol","Utopia Distance","paret"
0,"x3",0.202666666666667,"sig","Utopia Distance","paret"
0,"x3",0.694,"rad","Threshold Cutoff","paret"
0,"x3",1,"lin","Threshold Cutoff","paret"
0,"x3",1,"pol","Threshold Cutoff","paret"
0,"x3",1,"sig","Threshold Cutoff","paret"
0.0135135135135135,"x1",1,"rad","Pareto Distance","paret"
0.0135135135135135,"x1",1,"lin","Pareto Distance","paret"
0.0135135135135135,"x1",1,"pol","Pareto Distance","paret"
0.0135135135135135,"x1",1,"sig","Pareto Distance","paret"
0.0135135135135135,"x1",0.88,"rad","Utopia Distance","paret"
0.0135135135135135,"x1",0.897333333333333,"lin","Utopia Distance","paret"
0.0135135135135135,"x1",1,"pol","Utopia Distance","paret"
0.0135135135135135,"x1",1,"sig","Utopia Distance","paret"
0.0135135135135135,"x1",0.816666666666667,"rad","Threshold Cutoff","paret"
0.0135135135135135,"x1",1,"lin","Threshold Cutoff","paret"
0.0135135135135135,"x1",1,"pol","Threshold Cutoff","paret"
0.0135135135135135,"x1",1,"sig","Threshold Cutoff","paret"
0.0135135135135135,"x2",1,"rad","Pareto Distance","paret"
0.0135135135135135,"x2",1,"lin","Pareto Distance","paret"
0.0135135135135135,"x2",1,"pol","Pareto Distance","paret"
0.0135135135135135,"x2",1,"sig","Pareto Distance","paret"
0.0135135135135135,"x2",0.186,"rad","Utopia Distance","paret"
0.0135135135135135,"x2",0.194,"lin","Utopia Distance","paret"
0.0135135135135135,"x2",1,"pol","Utopia Distance","paret"
0.0135135135135135,"x2",0.283333333333333,"sig","Utopia Distance","paret"
0.0135135135135135,"x2",0.720666666666667,"rad","Threshold Cutoff","paret"
0.0135135135135135,"x2",1,"lin","Threshold Cutoff","paret"
0.0135135135135135,"x2",1,"pol","Threshold Cutoff","paret"
0.0135135135135135,"x2",1,"sig","Threshold Cutoff","paret"
0.0135135135135135,"x3",1,"rad","Pareto Distance","paret"
0.0135135135135135,"x3",1,"lin","Pareto Distance","paret"
0.0135135135135135,"x3",1,"pol","Pareto Distance","paret"
0.0135135135135135,"x3",1,"sig","Pareto Distance","paret"
0.0135135135135135,"x3",0,"rad","Utopia Distance","paret"
0.0135135135135135,"x3",0.0806666666666667,"lin","Utopia Distance","paret"
0.0135135135135135,"x3",1,"pol","Utopia Distance","paret"
0.0135135135135135,"x3",0.221333333333333,"sig","Utopia Distance","paret"
0.0135135135135135,"x3",0.746666666666667,"rad","Threshold Cutoff","paret"
0.0135135135135135,"x3",1,"lin","Threshold Cutoff","paret"
0.0135135135135135,"x3",1,"pol","Threshold Cutoff","paret"
0.0135135135135135,"x3",1,"sig","Threshold Cutoff","paret"
0.027027027027027,"x1",1,"rad","Pareto Distance","paret"
0.027027027027027,"x1",1,"lin","Pareto Distance","paret"
0.027027027027027,"x1",1,"pol","Pareto Distance","paret"
0.027027027027027,"x1",1,"sig","Pareto Distance","paret"
0.027027027027027,"x1",0.883333333333333,"rad","Utopia Distance","paret"
0.027027027027027,"x1",0.897333333333333,"lin","Utopia Distance","paret"
0.027027027027027,"x1",1,"pol","Utopia Distance","paret"
0.027027027027027,"x1",0.998,"sig","Utopia Distance","paret"
0.027027027027027,"x1",0.830666666666667,"rad","Threshold Cutoff","paret"
0.027027027027027,"x1",1,"lin","Threshold Cutoff","paret"
0.027027027027027,"x1",1,"pol","Threshold Cutoff","paret"
0.027027027027027,"x1",1,"sig","Threshold Cutoff","paret"
0.027027027027027,"x2",1,"rad","Pareto Distance","paret"
0.027027027027027,"x2",1,"lin","Pareto Distance","paret"
0.027027027027027,"x2",1,"pol","Pareto Distance","paret"
0.027027027027027,"x2",1,"sig","Pareto Distance","paret"
0.027027027027027,"x2",0.188666666666667,"rad","Utopia Distance","paret"
0.027027027027027,"x2",0.190666666666667,"lin","Utopia Distance","paret"
0.027027027027027,"x2",1,"pol","Utopia Distance","paret"
0.027027027027027,"x2",0.26,"sig","Utopia Distance","paret"
0.027027027027027,"x2",0.760666666666667,"rad","Threshold Cutoff","paret"
0.027027027027027,"x2",1,"lin","Threshold Cutoff","paret"
0.027027027027027,"x2",1,"pol","Threshold Cutoff","paret"
0.027027027027027,"x2",1,"sig","Threshold Cutoff","paret"
0.027027027027027,"x3",1,"rad","Pareto Distance","paret"
0.027027027027027,"x3",1,"lin","Pareto Distance","paret"
0.027027027027027,"x3",1,"pol","Pareto Distance","paret"
0.027027027027027,"x3",1,"sig","Pareto Distance","paret"
0.027027027027027,"x3",0.042,"rad","Utopia Distance","paret"
0.027027027027027,"x3",0.0946666666666667,"lin","Utopia Distance","paret"
0.027027027027027,"x3",1,"pol","Utopia Distance","paret"
0.027027027027027,"x3",0.228,"sig","Utopia Distance","paret"
0.027027027027027,"x3",0.774,"rad","Threshold Cutoff","paret"
0.027027027027027,"x3",1,"lin","Threshold Cutoff","paret"
0.027027027027027,"x3",1,"pol","Threshold Cutoff","paret"
0.027027027027027,"x3",1,"sig","Threshold Cutoff","paret"
0.0405405405405405,"x1",1,"rad","Pareto Distance","paret"
0.0405405405405405,"x1",1,"lin","Pareto Distance","paret"
0.0405405405405405,"x1",1,"pol","Pareto Distance","paret"
0.0405405405405405,"x1",1,"sig","Pareto Distance","paret"
0.0405405405405405,"x1",0.864666666666667,"rad","Utopia Distance","paret"
0.0405405405405405,"x1",0.88,"lin","Utopia Distance","paret"
0.0405405405405405,"x1",1,"pol","Utopia Distance","paret"
0.0405405405405405,"x1",0.998,"sig","Utopia Distance","paret"
0.0405405405405405,"x1",0.822666666666667,"rad","Threshold Cutoff","paret"
0.0405405405405405,"x1",1,"lin","Threshold Cutoff","paret"
0.0405405405405405,"x1",1,"pol","Threshold Cutoff","paret"
0.0405405405405405,"x1",1,"sig","Threshold Cutoff","paret"
0.0405405405405405,"x2",1,"rad","Pareto Distance","paret"
0.0405405405405405,"x2",1,"lin","Pareto Distance","paret"
0.0405405405405405,"x2",1,"pol","Pareto Distance","paret"
0.0405405405405405,"x2",1,"sig","Pareto Distance","paret"
0.0405405405405405,"x2",0.241333333333333,"rad","Utopia Distance","paret"
0.0405405405405405,"x2",0.223333333333333,"lin","Utopia Distance","paret"
0.0405405405405405,"x2",1,"pol","Utopia Distance","paret"
0.0405405405405405,"x2",0.311333333333333,"sig","Utopia Distance","paret"
0.0405405405405405,"x2",0.785333333333333,"rad","Threshold Cutoff","paret"
0.0405405405405405,"x2",1,"lin","Threshold Cutoff","paret"
0.0405405405405405,"x2",1,"pol","Threshold Cutoff","paret"
0.0405405405405405,"x2",1,"sig","Threshold Cutoff","paret"
0.0405405405405405,"x3",1,"rad","Pareto Distance","paret"
0.0405405405405405,"x3",1,"lin","Pareto Distance","paret"
0.0405405405405405,"x3",1,"pol","Pareto Distance","paret"
0.0405405405405405,"x3",1,"sig","Pareto Distance","paret"
0.0405405405405405,"x3",0.08,"rad","Utopia Distance","paret"
0.0405405405405405,"x3",0.106,"lin","Utopia Distance","paret"
0.0405405405405405,"x3",1,"pol","Utopia Distance","paret"
0.0405405405405405,"x3",0.256,"sig","Utopia Distance","paret"
0.0405405405405405,"x3",0.792666666666667,"rad","Threshold Cutoff","paret"
0.0405405405405405,"x3",1,"lin","Threshold Cutoff","paret"
0.0405405405405405,"x3",1,"pol","Threshold Cutoff","paret"
0.0405405405405405,"x3",1,"sig","Threshold Cutoff","paret"
0.0540540540540541,"x1",1,"rad","Pareto Distance","paret"
0.0540540540540541,"x1",1,"lin","Pareto Distance","paret"
0.0540540540540541,"x1",1,"pol","Pareto Distance","paret"
0.0540540540540541,"x1",1,"sig","Pareto Distance","paret"
0.0540540540540541,"x1",0.877333333333333,"rad","Utopia Distance","paret"
0.0540540540540541,"x1",0.884666666666667,"lin","Utopia Distance","paret"
0.0540540540540541,"x1",1,"pol","Utopia Distance","paret"
0.0540540540540541,"x1",0.994,"sig","Utopia Distance","paret"
0.0540540540540541,"x1",0.86,"rad","Threshold Cutoff","paret"
0.0540540540540541,"x1",1,"lin","Threshold Cutoff","paret"
0.0540540540540541,"x1",1,"pol","Threshold Cutoff","paret"
0.0540540540540541,"x1",1,"sig","Threshold Cutoff","paret"
0.0540540540540541,"x2",1,"rad","Pareto Distance","paret"
0.0540540540540541,"x2",1,"lin","Pareto Distance","paret"
0.0540540540540541,"x2",1,"pol","Pareto Distance","paret"
0.0540540540540541,"x2",1,"sig","Pareto Distance","paret"
0.0540540540540541,"x2",0.268666666666667,"rad","Utopia Distance","paret"
0.0540540540540541,"x2",0.244,"lin","Utopia Distance","paret"
0.0540540540540541,"x2",1,"pol","Utopia Distance","paret"
0.0540540540540541,"x2",0.316666666666667,"sig","Utopia Distance","paret"
0.0540540540540541,"x2",0.842666666666667,"rad","Threshold Cutoff","paret"
0.0540540540540541,"x2",1,"lin","Threshold Cutoff","paret"
0.0540540540540541,"x2",1,"pol","Threshold Cutoff","paret"
0.0540540540540541,"x2",1,"sig","Threshold Cutoff","paret"
