"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"8",13.5,5.5,0.5,-7,45.0304617979096,0.030867,0
"50",7.75,2.75,0.5,-3.15,16.3463793767486,0.022472,0
"158",5.86792763613792,3.09741559102537,-1.10449433878957,-6.6306355002569,9.55315047581835,0.0056903,106
"208",11.1354998787077,5.12545452573414,0.430363764869981,-0.863002285163385,40.8373714912351,0.02818,156
"242",6.75491882453207,3.98090061743278,0.360714872484095,-1.5295047491556,14.4632834446388,0.019194,190
"290",5.05751144121463,4.71194338658552,-0.242680673539636,-2.63242895177837,10.1939065239727,0.0099661,238
"323",4.31197663513012,5.28376332120016,-0.314135129696497,-6.29086766155767,9.77392387594908,0.0093077,271
"350",10.5376831899664,4.66052266098461,0.285666685034268,-2.51015976152704,34.8357419343726,0.022537,298
"x16",7.14614903926849,2.36193323135376,0.287775725126266,-6.8696444183588,13.9070700069831,0.017403,306
"x121",4.39108900725842,5.34645366668701,0.0454531610012054,-4.49112468957901,10.5206753909949,0.0134,312
"x126",10.1939535164107,2.56646672953095,0.49725126574259,-1.97449086605014,29.4239729652846,0.02248,317
"x130",6.47506611560022,4.30678428093446,0.0745414211862428,-6.63168107962687,13.6161061959887,0.013864,321
"x139",6.42318626430787,4.82207572369708,0.400463953692003,-2.20147202139852,15.0068596992692,0.02005,330
"x153",10.7466499294274,4.4313608075682,0.29113382577302,-5.36989111428976,35.4292913423323,0.022599,344
