"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s"
"1",2,0,-2,-7,21.1200765661537,0.034131
"2",13.5,0,-2,-7,214.847486459053,0.014524
"3",2,5.5,-2,-7,83.9814902035364,0.017067
"4",13.5,5.5,-2,-7,214.847625980256,0.014524
"5",2,0,0.5,-7,7516.55999835301,0.12191
"6",13.5,0,0.5,-7,40.6323875751927,-0.0018359
"7",2,5.5,0.5,-7,10247.0002473648,0.036056
"8",13.5,5.5,0.5,-7,45.0304617979096,-0.0030867
"9",2,0,-2,0.7,26.4775900417391,0.033635
"10",13.5,0,-2,0.7,28.5841895133057,0.03349
"11",2,5.5,-2,0.7,28.1083615474847,0.033604
"12",13.5,5.5,-2,0.7,28.5841895133348,0.03349
"13",2,0,0.5,0.7,9036.79819764844,0.033642
"14",13.5,0,0.5,0.7,9039.27401103782,0.03349
"15",2,5.5,0.5,0.7,9038.67734087195,0.033642
"16",13.5,5.5,0.5,0.7,9039.27451965828,0.03349
"17",10.294885126641,3.9693815294886,0.0383435825351626,0.0610657503828405,71.8973852591898,-0.0012914
"18",10.6883580415742,5.46692985272966,-0.869800569373183,-2.09057061853819,30.7876557066494,-0.00071715
"19",8.32886938238516,1.9537289935397,-1.85004231100902,0.287571325874888,73.5251473192402,0.033261
"20",3.37281687255017,3.62870746152475,-0.127617053105496,-0.784402641514316,58304.4825249541,0.01347
"21",9.57678870647214,4.76263317046687,-0.760237718815915,-5.97113962541334,28.0668319493205,-0.00075784
"22",7.74976641568355,4.79002534470055,-0.596800306695513,-0.175600105361082,38.4653975904341,-0.00072354
"23",6.26498756092042,4.96560239919927,-0.918314408510923,-5.57344501437619,14.3672577806882,-0.00062051
"24",9.81496337859426,2.61607663356699,0.458408585516736,-5.61010965658352,27.1505073402666,-0.0021436
"25",5.39830019348301,4.78326060948893,-0.820288208080456,-1.00463951949496,12.0247010445794,-0.00064609
"26",2.29645394301042,0.739328111172654,-1.31317396112718,-4.20181600451469,114.042223170318,0.036572
"27",8.2182401920436,3.85448456485756,-1.6076943812659,-1.26907203586306,22.373574551631,-0.0005229
"28",10.615638430696,0.649582104291767,-0.624278136412613,-2.07403250611387,25.2614817542848,-0.00069819
"29",7.07463788113091,0.989045549649745,-0.00246301863808185,-2.50508499562275,28.5723565914088,0.0022885
"30",2.09139876265544,0.524729724507779,-0.884964955504984,-2.01005173649173,308.452284776201,0.041082
"31",3.42558896972332,2.1841341125546,0.3679103795439,-2.59193221612368,5156.33078610999,0.12395
"32",4.20013617095537,0.564951086416841,-0.889221320278011,-1.50094619442243,340.265131113704,0.040147
"33",10.3670893247472,4.42401810945012,-1.70788558479398,-4.68499501890037,27.0408863693316,-0.00044434
"34",11.0158756998135,4.8660831162706,-1.3296863604337,-5.18920722121838,27.2731310577427,-0.00055372
"35",6.30705269635655,4.97732363769319,-1.10744089109357,-1.8007796900114,14.7426456197636,-0.00057915
"36",6.02388440421782,1.74865681130905,-0.290015729144216,-2.35646777749062,56.6111347744495,0.002879
"37",9.52715014351998,2.65259660431184,-0.516267895465717,-2.28251306544989,24.8346488053912,-0.00078914
"38",3.25380596856121,0.821323090232909,-0.43539179651998,-5.58243872229941,870.886881835441,0.054497
"39",8.89613686862867,5.19124281208497,-1.41095296002459,-2.431929101469,22.5560761372804,-0.00053961
"40",12.0778624113882,5.17395077517722,-1.38310290453956,-5.65349584401119,26.9466703065932,-0.000526
"41",4.95700107049197,3.43750482646283,-0.28397152479738,-6.00798629377969,12.440276161546,3.7304e-05
"42",10.8492627015803,2.33362030785065,-0.732308424660005,-6.00973535806406,30.2660129219544,-0.0007075
"43",3.26406475354452,4.09007389016915,-1.73301352001727,-4.38071294038091,321.490168537059,0.010581
"44",9.87652380787767,1.99951795756351,-0.414383422932588,-6.26702843206003,25.0248985797975,-0.00085154
"45",2,2.75,-0.75,-3.15,415.444361179351,0.044838
"46",13.5,2.75,-0.75,-3.15,36.5968163776836,-0.00073156
"47",7.75,0,-0.75,-3.15,23.4712464068432,0.0014796
"48",7.75,5.5,-0.75,-3.15,21.9841511800885,-0.00070428
"49",7.75,2.75,-2,-3.15,214.055078413692,0.014535
"50",7.75,2.75,0.5,-3.15,16.3463793767486,-0.0022257
"51",7.75,2.75,-0.75,-7,15.8574328804966,-0.00067345
"52",7.75,2.75,-0.75,0.7,508.315503540348,0.03349
