"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"6",7.75,2.75,0.5,-3.15,16.3385293141826,0.02247,0
"8",7.75,2.75,-0.75,0.7,9.728901208372,0.0061317,0
"16",13.5,5.5,0.5,-7,45.0304589872741,0.030867,0
"29",5.89145821298007,4.32628424128052,-0.829777751816437,-3.06708369439002,11.5204127319792,0.0064879,0
"33",4.00295361049939,4.63493040390313,-1.20235350436997,-1.97742384867743,8.77797613587031,0.0053304,0
"122",6.38321276002561,4.42351876129015,-0.7922841122359,-3.96327353269283,13.515148892064,0.0065986,70
"154",2.97066234052181,5.4588545113802,-0.121438235044479,-4.68330773711205,13.6835607848063,0.010037,102
"x17",10.1851512266193,5.42303208895824,0.29152449609777,-2.70955984689898,33.9628610509081,0.023556,208
"x113",10.6117383261614,4.90982558146267,0.485362360935065,-1.09488444450501,35.3925018356133,0.02841,214
"x162",8.52907249261333,4.59676211845759,0.494259322859898,-6.70200767551578,25.4434286330568,0.022513,263
