"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"6",7.75,2.75,0.5,-3.15,16.3385293141826,0.0022249,0
"16",13.5,5.5,0.5,-7,45.0304589872741,0.0030867,0
"265",6.60007033019792,5.08903866482433,-1.22354888985865,0.674589985795319,8.92813068605354,0.00046926,213
"267",11.7143281768438,3.27405950434571,0.444170702336965,-4.2656645930467,38.8548436353266,0.0025721,215
"289",4.65688681602478,5.24798186123371,-0.171636462211609,-2.19179527461529,10.3461134547212,0.0010402,237
"318",5.92371207347605,5.09989297634456,0.241898703505285,-6.87935188859701,13.6227799136549,0.0016707,266
"320",7.40489176497795,3.81055436911993,0.132435030071065,0.139640508359299,12.7575300838558,0.0012894,268
"x119",4.33561721308609,4.86867962880656,-0.561453209623626,-6.75071934789332,9.1478770918797,0.00066463,310
"x127",10.6866038739681,5.41014185547829,0.29162822663784,-5.46240767836571,35.5769592818392,0.0024124,318
"x130",13.4173999145377,2.5371587569392,0.374157688227733,-5.51334763421358,43.7787426494173,0.0026051,321
"x1121",5.67607849836349,5.12056581676006,-0.436467975378036,0.130842447280884,9.90736210523388,0.0007657,322
"x137",9.55398856592365,4.3742759214947,0.496835188940167,-0.648241382441483,28.7580082838368,0.0022834,328
"x156",8.07692067325115,5.23410613834858,0.491766408085823,-3.43278987705708,24.69071279676,0.0022551,347
"x1147",4.53913846108754,4.36876603492272,-0.887983462276774,-4.00891667042056,8.74708662536788,0.00046646,348
