"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order","typ"
"1",5.63114620875568,5.5,0.5,-7,13.9275813045377,0.00022456,1,"+Acid"
"2",9.68235867644522,5.5,0.5,-7,33.2051988721283,0.00028022,2,"+Acid"
"3",7.65505079643332,5.5,0.5,-7,23.1410323382938,0.00022674,7,"+Acid"
"4",11.7395516092732,5.5,0.5,-5.4749014672154,39.9833826978893,0.00031097,8,"+Acid"
"5",6.69464855111825,5.5,0.499999999999996,-5.02470465839781,18.1786977915236,0.00022483,9,"+Acid"
"6",9.02680670728432,5.5,0.5,-5.21705764846079,30.3434501134521,0.00025289,15,"+Acid"
"7",10.611812438933,5.5,0.5,-3.88765759192317,36.4940582171974,0.0003052,18,"+Acid"
"8",5.04583119041522,5.5,0.5,-3.82842337355124,12.412744170546,0.00022299,21,"+Acid"
"9",11.9988455427351,5.5,0.5,-7,40.7627302026531,0.00031116,28,"+Acid"
"10",12.5468264126434,5.5,0.5,-2.99476693542528,42.3995308391742,0.00031118,31,"+Acid"
"11",8.00673083733073,5.5,0.5,-3.85456626740871,25.0603140272161,0.0002292,33,"+Acid"
"12",3.36920172693835,5.5,-0.680932008924138,-3.32487099485453,8.92492844177569,5.0658e-05,40,"+Acid"
"13",5.15120800137802,5.5,0.5,-5.65669756676385,12.6310881972844,0.00022359,49,"+Acid"
"14",6.45724113102963,5.5,0.5,-2.80611154421045,17.0975076872307,0.00022477,55,"+Acid"
"15",9.31485556057996,5.5,0.5,-2.83212843371546,31.6724904071067,0.00026472,61,"+Acid"
"16",7.92927673228258,5.5,0.5,-5.75318877527632,24.6367594059402,0.0002285,83,"+Acid"
"17",3.29732351202427,5.5,-0.720957835889519,-4.71350555598707,8.8966334919542,4.5912e-05,88,"+Acid"
"18",5.59432627353817,3.66224601339747,-0.232063574761797,-3.78791043469406,10.1621248403546,8.6737e-05,174,"+Acid"
"19",5.38136066624429,4.66523936623707,-0.114665901521221,-0.979436101717874,10.5576701635537,0.00010839,0,"+Base"
"20",4.35210434987675,4.12044426344801,-1.0692978980951,-1.0714482902782,8.76779248340579,3.6694e-06,0,"+Base"
"21",4.58182197662538,5.27455304779606,0.486713846890784,-6.82995733197313,11.7509368219153,0.00020372,117,"+Base"
"22",4.07265033976654,5.45351820208741,0.409282031003386,-1.46595488517655,11.6956487864376,0.0001481,140,"+Base"
"23",3.78356135239989,5.02979687453567,-0.716844134493267,-3.89027956577142,8.89916858233788,4.6854e-05,174,"+Base"
