"","QuinoneCode","R2","R3","R5","R6","E0.1","E0.2","Pka.2","Pka.1","p.accept"
"1",1,"H","H","H","H",0.099,0.023,11.4,9.85,0.810061534859646
"2",2,"C6H5","H","H","H",0.072,0.052,10.88,8.5,0.748953320087777
"3",3,"CH3","H","H","H",0.007,-0.03,11.39,10.52,0.799482818328584
"4",4,"C(CH3)3","H","H","H",-0.041,-0.096,12.25,10.4,0.798234000702949
"5",5,"OCH3","H","H","H",-0.039,-0.049,11.27,9.53,0.76280510427324
"6",6,"N(CH3)2","H","H","H",-0.221,-0.144,12.32,9.6,0.803132239027846
"7",7,"NH2","H","H","H",-0.193,-0.117,11.16,9.5,0.791091447076493
"8",8,"CH2CH3","H","H","H",-0.025,-0.068,11.71,10.32,0.823281702241125
"9",9,"OH","H","H","H",0.013,-0.025,11.03,9.64,0.785167880221597
"10",10,"OCH2CH3","H","H","H",-0.07,-0.069,11.51,9.13,0.791611256760416
"11",11,"F","H","H","H",0.231,0.153,9.32,7.43,0.704861413795833
"12",12,"Cl","H","H","H",0.242,0.195,9.21,7.28,0.677758746011822
"13",13,"Br","H","H","H",0.243,0.191,9.8,5.58,0.753518572106277
"14",14,"SH","H","H","H",0.11,0.086,10.31,8.85,0.770475220124034
"15",15,"SiH3","H","H","H",0.156,0.07,10.5,7.89,0.734239554233826
"16",16,"CHO","H","H","H",0.393,0.362,9.23,8.6,0.67849559357929
"17",17,"COOCH3","H","H","H",0.339,0.26,11.32,7.81,0.783490859058254
"18",18,"CF3","H","H","H",0.365,0.263,9.13,5.03,0.64142735343695
"19",19,"CN","H","H","H",0.479,0.401,8.32,3.11,0.194104302302375
"20",20,"COOH","H","H","H",0.592,-0.068,10.16,8.02,0.744805535008476
"21",21,"SO3-","H","H","H",0.184,0.16,11.17,9.25,0.795054042586972
"22",22,"NO2","H","H","H",0.613,0.688,6.15,3.56,0.0925328470397316
"23",23,"COCH3","H","H","H",0.276,0.299,11.92,8.08,0.808951050552717
"24",24,"C6H5","C6H5","H","H",0.012,0.008,11.12,9.06,0.772914054698859
"25",25,"CH3","CH3","H","H",-0.09,-0.133,12.64,10.21,0.801982523304374
