"","group","probs","E01","E02","type","str"
"1","C6H5",0.748953320087777,0.072,0.052,"Donating",2
"2","C6H5",0.772914054698859,0.012,0.008,"Donating",2
"3","C6H5",0.704835100858648,0.041,0.104,"Donating",2
"4","C6H5",0.757487487929554,0.019,0.07,"Donating",2
"5","C6H5",0.772023813014702,-0.024,0.014,"Donating",2
"6","C6H5",0.765196123505809,-0.084,0.009,"Donating",2
"7","C6H5",0.772914054698859,0.012,0.008,"Donating",2
"8","C6H5",0.772023813014702,-0.024,0.014,"Donating",2
"9","C6H5",0.765196123505809,-0.084,0.009,"Donating",2
"10","C6H5",0.704835100858648,0.041,0.104,"Donating",2
"11","C6H5",0.772023813014702,-0.024,0.014,"Donating",2
"12","C6H5",0.765196123505809,-0.084,0.009,"Donating",2
"13","C6H5",0.757487487929554,0.019,0.07,"Donating",2
"14","C6H5",0.765196123505809,-0.084,0.009,"Donating",2
"15","CH3",0.799482818328584,0.007,-0.03,"Donating",3
"16","CH3",0.801982523304374,-0.09,-0.133,"Donating",3
"17","CH3",0.803396409916704,-0.092,-0.081,"Donating",3
"18","CH3",0.798003706225365,-0.088,-0.095,"Donating",3
"19","CH3",0.801751063832159,-0.211,-0.192,"Donating",3
"20","CH3",0.768637461333277,-0.084,0.009,"Donating",3
"21","CH3",0.801982523304374,-0.09,-0.133,"Donating",3
"22","CH3",0.801751063832159,-0.211,-0.192,"Donating",3
"23","CH3",0.768637461333277,-0.084,0.009,"Donating",3
"24","CH3",0.803396409916704,-0.092,-0.081,"Donating",3
"25","CH3",0.801751063832159,-0.211,-0.192,"Donating",3
"26","CH3",0.768637461333277,-0.084,0.009,"Donating",3
"27","CH3",0.798003706225365,-0.088,-0.095,"Donating",3
"28","CH3",0.768637461333277,-0.084,0.009,"Donating",3
"29","C(CH3)3",0.798234000702949,-0.041,-0.096,"Donating",3
"30","C(CH3)3",0.794045505517127,-0.385,-0.249,"Donating",3
"31","C(CH3)3",0.778034549045822,-0.193,-0.193,"Donating",3
"32","C(CH3)3",0.783900319878001,-0.192,-0.274,"Donating",3
