"","QuinoneCode","R2","R3","R5","R6","E0.1","E0.2","Pka.2","Pka.1","p.accept"
"1",1,"H","H","H","H",0.099,0.023,11.4,9.85,0.760936324220728
"2",2,"C6H5","H","H","H",0.072,0.052,10.88,8.5,0.768527088848811
"3",3,"CH3","H","H","H",0.007,-0.03,11.39,10.52,0.753150239620461
"4",4,"C(CH3)3","H","H","H",-0.041,-0.096,12.25,10.4,0.750310541165878
"5",5,"OCH3","H","H","H",-0.039,-0.049,11.27,9.53,0.769092492530412
"6",6,"N(CH3)2","H","H","H",-0.221,-0.144,12.32,9.6,0.765862504754067
"7",7,"NH2","H","H","H",-0.193,-0.117,11.16,9.5,0.767647033077265
"8",8,"CH2CH3","H","H","H",-0.025,-0.068,11.71,10.32,0.753029576799716
"9",9,"OH","H","H","H",0.013,-0.025,11.03,9.64,0.754937581016412
"10",10,"OCH2CH3","H","H","H",-0.07,-0.069,11.51,9.13,0.763636568933039
"11",11,"F","H","H","H",0.231,0.153,9.32,7.43,0.668065743841137
"12",12,"Cl","H","H","H",0.242,0.195,9.21,7.28,0.667248637363334
"13",13,"Br","H","H","H",0.243,0.191,9.8,5.58,0.719394095163467
"14",14,"SH","H","H","H",0.11,0.086,10.31,8.85,0.751674114774622
"15",15,"SiH3","H","H","H",0.156,0.07,10.5,7.89,0.746794388653259
"16",16,"CHO","H","H","H",0.393,0.362,9.23,8.6,0.667989606467043
"17",17,"COOCH3","H","H","H",0.339,0.26,11.32,7.81,0.763767073840112
"18",18,"CF3","H","H","H",0.365,0.263,9.13,5.03,0.661881236029248
"19",19,"CN","H","H","H",0.479,0.401,8.32,3.11,0.207659743483639
"20",20,"COOH","H","H","H",0.592,-0.068,10.16,8.02,0.755458247463284
"21",21,"SO3-","H","H","H",0.184,0.16,11.17,9.25,0.764337843335284
"22",22,"NO2","H","H","H",0.613,0.688,6.15,3.56,0.0219846632681272
"23",23,"COCH3","H","H","H",0.276,0.299,11.92,8.08,0.74677159068765
"24",24,"C6H5","C6H5","H","H",0.012,0.008,11.12,9.06,0.776494212318959
"25",25,"CH3","CH3","H","H",-0.09,-0.133,12.64,10.21,0.757392093595159
"26",26,"C(CH3)3","C(CH3)3","H","H",-0.385,-0.249,12.33,10.4,0.770823184788464
"27",27,"OCH3","OCH3","H","H",-0.048,0.065,10.97,7.77,0.769290931577087
"28",28,"N(CH3)2","N(CH3)2","H","H",-0.301,-0.117,11.11,9.43,0.757559345340562
"29",29,"NH2","NH2","H","H",-0.172,-0.144,10.46,7.85,0.780063124689736
"30",30,"CH2CH3","CH2CH3","H","H",-0.113,-0.118,11.94,10.51,0.754606846576309
"31",31,"OH","OH","H","H",0.041,0.028,10.28,6.38,0.785616147242186
"32",32,"OCH2CH3","OCH2CH3","H","H",-0.086,0.137,10.61,8.14,0.778249261377166
"33",33,"F","F","H","H",0.374,0.282,6.7,4.9,0.0260515488525961
"34",34,"Cl","Cl","H","H",0.342,0.32,6.52,4.7,0.0239738076966581
"35",35,"Br","Br","H","H",0.33,0.315,7.2,4.9,0.0420583844236027
"36",36,"SH","SH","H","H",0.112,0.851,-4.47,7.5,0.287399938522709
"37",37,"SiH3","SiH3","H","H",0.191,0.237,7.98,6.6,0.155056012520217
"38",38,"CHO","CHO","H","H",0.658,0.835,6.6,1.08,0.0760288166968564
"39",39,"COOCH3","COOCH3","H","H",0.445,0.417,9.33,5.39,0.681777775515352
"40",40,"CF3","CF3","H","H",0.365,0.263,9.13,5.03,0.63615637748228
"41",41,"CN","CN","H","H",0.886,0.856,1.47,-0.09,0.175016028508025
"42",42,"COOH","COOH","H","H",0.77,0.125,7.75,4.71,0.086214490763332
"43",43,"SO3-","SO3-","H","H",0.184,0.265,12.68,6.7,0.781377298343353
"44",44,"NO2","NO2","H","H",0.983,1.378,-2.21,-3.63,0.274120508369637
"45",45,"COCH3","COCH3","H","H",0.421,0.433,8.86,3.34,0.562985367679561
"46",46,"C6H5","H","C6H5","H",0.041,0.104,9.42,9.55,0.680323157383172
"47",47,"CH3","H","CH3","H",-0.092,-0.081,12.55,9.77,0.783819182596112
"48",48,"C(CH3)3","H","C(CH3)3","H",-0.193,-0.193,12.78,11.35,0.741180557668144
"49",49,"OCH3","H","OCH3","H",-0.146,-0.233,10.91,11.01,0.745992555424444
"50",50,"N(CH3)2","H","N(CH3)2","H",-0.602,-0.284,12.53,12.18,0.748338603575267
"51",52,"CH2CH3","H","CH2CH3","H",-0.172,-0.168,12.11,11.02,0.770050124448298
"52",53,"OH","H","OH","H",-0.142,-0.108,10.85,9.76,0.756396949767327
"53",54,"OCH2CH3","H","OCH2CH3","H",-0.285,-0.19,11.07,9.98,0.757526264903472
"54",55,"F","H","F","H",0.344,0.27,6.82,5.35,0.0319810021276353
"55",56,"Cl","H","Cl","H",0.372,0.356,6.21,5.78,0.0273054632237088
"56",57,"Br","H","Br","H",0.377,0.352,6.91,5.43,0.0325920389446375
"57",58,"SH","H","SH","H",0.1,0.136,8.46,8.35,0.370397022214381
"58",59,"SiH3","H","SiH3","H",0.194,0.151,9.2,7.78,0.65113773596073
"59",60,"CHO","H","CHO","H",0.628,0.569,8.8,7.61,0.553145505355592
"60",61,"COOCH3","H","COOCH3","H",0.49,0.398,11.54,9.2,0.783597842007857
"61",62,"CF3","H","CF3","H",0.614,0.487,5.47,3.05,0.0272566618807365
"62",63,"CN","H","CN","H",0.814,0.72,2.88,0.8,0.123658753767648
"63",64,"COOH","H","COOH","H",0.997,-0.252,10.43,8.22,0.763747107695709
"64",65,"SO3-","H","SO3-","H",0.307,0.27,10.5,9.82,0.742083591375442
"65",66,"NO2","H","NO2","H",0.981,0.975,3.51,1.57,0.0818038491952031
"66",67,"COCH3","H","COCH3","H",0.463,0.363,11.04,11.39,0.748781431760337
"67",68,"C6H5","H","H","C6H5",0.019,0.07,10.15,8.59,0.759547605504888
"68",69,"CH3","H","H","CH3",-0.088,-0.095,11.81,9.98,0.759189337683281
"69",70,"C(CH3)3","H","H","C(CH3)3",-0.192,-0.274,13.18,10.49,0.747738543509173
"70",71,"OCH3","H","H","OCH3",-0.154,-0.123,11.96,9.37,0.75610796772455
"71",72,"N(CH3)2","H","H","N(CH3)2",-0.468,-0.255,13.48,10.16,0.749901474498225
"72",73,"NH2","H","H","NH2",-0.345,-0.265,10.99,8.97,0.745404513572913
"73",74,"CH2CH3","H","H","CH2CH3",-0.142,-0.143,11.73,10.19,0.783184289958799
"74",75,"OH","H","H","OH",-0.034,-0.06,10.68,8.43,0.754006078593001
"75",76,"OCH2CH3","H","H","OCH2CH3",-0.173,-0.167,11.66,8.91,0.759115992765668
"76",77,"F","H","H","F",0.382,0.286,7.34,4.21,0.0478675097741233
"77",78,"Cl","H","H","Cl",0.389,0.35,7.24,3.34,0.0408145001807501
"78",79,"Br","H","H","Br",0.387,0.358,8.25,3.97,0.185757803772184
"79",80,"SH","H","H","SH",0.135,0.149,8.77,4.94,0.516394879486099
"80",81,"SiH3","H","H","SiH3",0.203,0.148,10.1,4.77,0.779255178046711
"81",82,"CHO","H","H","CHO",0.634,0.673,7.67,4.76,0.0750288071130305
"82",83,"COOCH3","H","H","COOCH3",0.518,0.437,8.86,6.76,0.583899066986281
"83",84,"CF3","H","H","CF3",0.62,0.496,7.67,0.4,0.144310480472042
"84",85,"CN","H","H","CN",0.815,0.734,6.61,-3.25,0.21355853107031
"85",86,"COOH","H","H","COOH",0.988,-0.106,7.75,6.01,0.0993976426416157
"86",87,"SO3-","H","H","SO3-",0.302,0.269,9.73,8,0.701866862725962
"87",88,"NO2","H","H","NO2",0.944,1.081,3.03,-1.87,0.195547856919733
"88",89,"COCH3","H","H","COCH3",0.375,0.513,9.33,6.95,0.691958442117646
"89",90,"C6H5","C6H5","C6H5","H",-0.024,0.014,11.12,8.93,0.784531830993057
"90",91,"CH3","CH3","CH3","H",-0.211,-0.192,12.18,11.04,0.770277511196116
"91",93,"OCH3","OCH3","OCH3","H",-0.213,-0.01,10.97,8.19,0.764322708832238
