"","group","probs","E01","E02","type","str"
"1","C6H5",0.768527088848811,0.072,0.052,"Donating",2
"2","C6H5",0.776494212318959,0.012,0.008,"Donating",2
"3","C6H5",0.680323157383172,0.041,0.104,"Donating",2
"4","C6H5",0.759547605504888,0.019,0.07,"Donating",2
"5","C6H5",0.784531830993057,-0.024,0.014,"Donating",2
"6","C6H5",0.755246219711736,-0.084,0.009,"Donating",2
"7","C6H5",0.776494212318959,0.012,0.008,"Donating",2
"8","C6H5",0.784531830993057,-0.024,0.014,"Donating",2
"9","C6H5",0.755246219711736,-0.084,0.009,"Donating",2
"10","C6H5",0.680323157383172,0.041,0.104,"Donating",2
"11","C6H5",0.784531830993057,-0.024,0.014,"Donating",2
"12","C6H5",0.755246219711736,-0.084,0.009,"Donating",2
"13","C6H5",0.759547605504888,0.019,0.07,"Donating",2
"14","C6H5",0.755246219711736,-0.084,0.009,"Donating",2
"15","CH3",0.753150239620461,0.007,-0.03,"Donating",3
"16","CH3",0.757392093595159,-0.09,-0.133,"Donating",3
"17","CH3",0.783819182596112,-0.092,-0.081,"Donating",3
"18","CH3",0.759189337683281,-0.088,-0.095,"Donating",3
"19","CH3",0.770277511196116,-0.211,-0.192,"Donating",3
"20","CH3",0.756588710062847,-0.084,0.009,"Donating",3
"21","CH3",0.757392093595159,-0.09,-0.133,"Donating",3
"22","CH3",0.770277511196116,-0.211,-0.192,"Donating",3
"23","CH3",0.756588710062847,-0.084,0.009,"Donating",3
"24","CH3",0.783819182596112,-0.092,-0.081,"Donating",3
"25","CH3",0.770277511196116,-0.211,-0.192,"Donating",3
"26","CH3",0.756588710062847,-0.084,0.009,"Donating",3
"27","CH3",0.759189337683281,-0.088,-0.095,"Donating",3
"28","CH3",0.756588710062847,-0.084,0.009,"Donating",3
"29","C(CH3)3",0.750310541165878,-0.041,-0.096,"Donating",3
"30","C(CH3)3",0.770823184788464,-0.385,-0.249,"Donating",3
"31","C(CH3)3",0.741180557668144,-0.193,-0.193,"Donating",3
"32","C(CH3)3",0.747738543509173,-0.192,-0.274,"Donating",3
"33","C(CH3)3",0.770823184788464,-0.385,-0.249,"Donating",3
"34","C(CH3)3",0.741180557668144,-0.193,-0.193,"Donating",3
"35","C(CH3)3",0.747738543509173,-0.192,-0.274,"Donating",3
"36","OCH3",0.769092492530412,-0.039,-0.049,"Donating",6
"37","OCH3",0.769290931577087,-0.048,0.065,"Donating",6
"38","OCH3",0.745992555424444,-0.146,-0.233,"Donating",6
"39","OCH3",0.75610796772455,-0.154,-0.123,"Donating",6
"40","OCH3",0.764322708832238,-0.213,-0.01,"Donating",6
"41","OCH3",0.682390764736808,-0.229,0.111,"Donating",6
"42","OCH3",0.769290931577087,-0.048,0.065,"Donating",6
"43","OCH3",0.764322708832238,-0.213,-0.01,"Donating",6
"44","OCH3",0.682390764736808,-0.229,0.111,"Donating",6
"45","OCH3",0.745992555424444,-0.146,-0.233,"Donating",6
"46","OCH3",0.764322708832238,-0.213,-0.01,"Donating",6
"47","OCH3",0.682390764736808,-0.229,0.111,"Donating",6
"48","OCH3",0.75610796772455,-0.154,-0.123,"Donating",6
"49","OCH3",0.682390764736808,-0.229,0.111,"Donating",6
"50","N(CH3)2",0.765862504754067,-0.221,-0.144,"Donating",9
"51","N(CH3)2",0.757559345340562,-0.301,-0.117,"Donating",9
"52","N(CH3)2",0.748338603575267,-0.602,-0.284,"Donating",9
