"","X","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","pkaDif"
"1",1,7.75,0,-0.75,-3.15,23.6057072739458,0.0040575,1
"2",2,2,0,-2,-7,21.1200759368147,-0.029458,1
"3",3,13.5,0,-2,-7,214.847447944871,-0.0099342,1
"4",4,2,0,0.5,-7,7516.55783353728,-0.1052,1
"5",5,13.5,0,0.5,-7,40.6323848175771,0.018359,1
"6",6,2,0,-2,0.7,14.6263859683121,-0.049217,1
"7",7,13.5,0,-2,0.7,122.223303689916,-0.0099253,1
"8",8,2,0,0.5,0.7,180.246166625302,-27.862,1
"9",9,13.5,0,0.5,0.7,17.1901563754824,0.0039371,1
"10",10,3.49285136465915,0.190547680598684,-0.430580024141818,-2.61782897443045,880.034809412466,-0.044144,1
"11",11,11.8982131602243,0.452906096470542,0.352157077402808,0.0387009489117194,24.9845449315049,0.0129,1
"12",12,9.05485799803864,0.970032363315113,-0.714426891529001,-5.69356309641153,18.1765497094384,0.006783,1
"13",13,7.61305833084043,0.23359954461921,-0.311517708352767,-3.03008509732317,31.1037291437821,0.0055266,1
"14",14,5.38858229015023,0.891936305677518,-0.570657699019648,-0.548210691660643,166.653546901794,-0.068964,1
"15",15,5.96887124120258,0.229995183413848,0.00839692493900657,-5.04035900132731,2002.97101527592,-0.052086,1
"16",16,6.62428253423423,0.566153731080703,-1.91291121172253,-3.87747774731833,125.786917052019,-0.010608,1
"17",17,13.5,0.870853336793669,-1.9999999996189,-2.71538223221024,214.478396593399,-0.0099331,1
"18",18,13.5,0,-2,-1.20295263720147,204.410748306635,-0.0099173,1
"19",19,13.5,0,-2,-4.22263007290777,214.835935324067,-0.0099342,1
"20",20,11.8158247902915,0.847564680387142,-1.99999999969354,0.7,122.221427757289,-0.0099253,1
"21",21,11.530271315239,0,-2,-2.48676155736182,214.211441641256,-0.0099326,1
"22",22,11.0733714212707,0,-2,-0.265677739316774,167.372849515095,-0.0099072,1
"23",23,13.4999999983833,0.499837778291713,-0.481680126811852,0.57764087152483,16.2863154339498,0.0050211,1
"24",24,12.3427507977096,0.113063617521982,-0.477897073342341,0.245433273666231,20.1418286237703,0.0052567,1
