"","X","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","pkaDif"
"1",1,13.5,0,0.5,-7,40.6323848175771,0.018359,1
"2",2,2,0,-2,0.7,14.6263859683121,-0.049217,1
"3",3,11.8982131602243,0.452906096470542,0.352157077402808,0.0387009489117194,24.9845449315049,0.0129,1
"4",4,9.05485799803864,0.970032363315113,-0.714426891529001,-5.69356309641153,18.1765497094384,0.006783,1
"5",5,11.7610085074061,0.834785902962225,-0.529380266459183,-0.0791051895255424,24.8666083799021,0.0068697,1
"6",6,13.5,1,0.325341274533966,-7,42.4952149902986,0.02031,1
"7",7,7.78414222555857,0.386805814085984,-0.716206966902482,-2.95980063507367,15.5659121806185,0.0056627,1
"8",8,8.82168774462018,0.630874743945165,-0.851716126217601,-7,16.3892012975038,0.0062095,1
"9",9,8.76675789087806,0.663547534563251,-0.902125621013802,-5.83515339502479,16.2593764823423,0.0060854,1
"10",10,12.7899356826815,0.397363283069855,0.236771651407028,-7,37.2083451739449,0.015216,1
"11",1,7.75,2.75,0.5,-3.15,16.3385293141824,0.02247,5.5
"12",2,7.75,2.75,-0.75,0.7,9.72890120837201,0.0061317,5.5
"13",3,5.89145821298007,4.32628424128052,-0.829777751816437,-3.06708369439002,11.5204127319793,0.0064879,5.5
"14",4,4.00295361049939,4.63493040390313,-1.20235350436997,-1.97742384867743,8.7779761358703,0.0053304,5.5
"15",5,6.61844249791466,4.21574345580302,-0.313761682366021,-6.17019390743226,13.8307770639065,0.0093196,5.5
"16",6,6.38321276002561,4.42351876129015,-0.7922841122359,-3.96327353269283,13.5151488920639,0.0065986,5.5
"17",7,11.9271576672744,5.49999999987263,0.357079970258714,-7,39.6394406764132,0.02636,5.5
"18",8,13.5,5.5,0.5,-7,45.0304589872744,0.030867,5.5
"19",9,13.5,3.9109108948554,0.38403524732596,-6.13254112130984,44.1414293249255,0.026881,5.5
"20",1,7.75,2.75,0.5,-3.15,16.3385293141824,0.02247,9
"21",2,7.75,2.75,-0.75,0.7,9.72890120837201,0.0061317,9
"22",3,13.5,5.5,0.5,-7,45.0304589872744,0.030867,9
"23",4,5.89145821298007,4.32628424128052,-0.829777751816437,-3.06708369439002,11.5204127319793,0.0064879,9
"24",5,4.00295361049939,4.63493040390313,-1.20235350436997,-1.97742384867743,8.7779761358703,0.0053304,9
"25",6,6.61844249791466,4.21574345580302,-0.313761682366021,-6.17019390743226,13.8307770639065,0.0093196,9
"26",7,6.38321276002561,4.42351876129015,-0.7922841122359,-3.96327353269283,13.5151488920639,0.0065986,9
"27",8,13.5,7.66249544630537,0.5,-7,45.0305819470783,0.030868,9
