"","X","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","mConc"
"1",1,2,2.75,-0.75,-3.15,414.325483723484,-0.04489,0.5
"2",2,13.5,2.75,-0.75,-3.15,36.5759588391818,0.00073139,0.5
"3",3,7.75,0,-0.75,-3.15,23.6057072739458,-0.0014918,0.5
"4",4,7.75,5.5,-0.75,-3.15,21.9707642186262,0.0007042,0.5
"5",5,7.75,2.75,-2,-3.15,213.782293898204,-0.014534,0.5
"6",6,7.75,2.75,-0.75,-7,15.8574317208048,0.00067345,0.5
"7",7,7.75,2.75,-0.75,0.7,9.72890120837201,0.00031514,0.5
"8",8,2,0,-2,-7,21.1200759368147,-0.034131,0.5
"9",9,13.5,0,-2,-7,214.847447944871,-0.014524,0.5
"10",10,2,5.5,-2,-7,83.9814746696355,-0.017067,0.5
"11",11,13.5,5.5,-2,-7,214.847587466069,-0.014524,0.5
"12",12,2,0,-2,0.7,14.6263859683121,-0.053934,0.5
"13",13,13.5,0,-2,0.7,122.223303689916,-0.014515,0.5
"14",14,2,5.5,-2,0.7,25.4639722433978,-0.020953,0.5
"15",15,13.5,5.5,-2,0.7,122.223609363264,-0.014515,0.5
"16",16,5.77757297968492,5.03769879986066,-0.930072337388992,-4.84590432916302,12.8486528821992,0.00061756,0.5
"17",17,8.83915653196163,2.9452816991834,-0.417074722237885,-3.20176520119421,21.8766549305413,0.00085117,0.5
"18",18,6.7551531183999,3.33373010670766,-0.954951471532695,-6.73817566649523,12.7647313227308,0.00060542,0.5
"19",19,7.32363866339438,0.930684465682134,-0.317516794195399,-5.70477747255936,16.8202898384384,-0.00035285,0.5
"20",20,3.67460982559714,3.04322758980561,-1.25349718949292,-1.06987667335197,247.681349036026,-0.015949,0.5
"21",21,7.11503533786163,1.4339938116027,-0.576620887033641,-6.2886833401164,12.5714711443669,0.00029184,0.5
"22",22,10.5004687514156,0.684897314873524,-0.737810833845288,0.11681686048396,19.5902488375275,0.0005969,0.5
"23",23,6.13728711579461,0.052015176624991,-1.63468550588004,-2.8126339409966,76.923437910566,-0.023284,0.5
"24",24,9.63247163780034,0.246052091475576,-1.15571267192718,-1.05426446474157,19.0364942677321,0.00053294,0.5
"25",25,7.90584889485035,5.15536402969155,-1.02790641703177,-2.79202929583844,21.5417352383425,0.0006077,0.5
"26",26,9.51491877622902,3.36301377543714,-0.902613460668363,-5.0226547755301,25.9155282583212,0.00063714,0.5
"27",27,2.04867168271448,5.18770853895694,-1.80540970689617,-2.82633102759719,161.448143678041,-0.013427,0.5
"28",28,4.96101047762204,4.16813096217811,-1.3459608667763,-3.15937445654999,9.57490910161671,0.00041201,0.5
"29",29,10.5029724771157,2.64503188000526,-1.21094997902401,-5.57122805544641,27.3395388114394,0.00056968,0.5
"30",30,5.68053313624114,2.49574965878855,-0.771974805858918,-0.00336798347998357,1039.28582800793,-0.0038681,0.5
"31",31,8.20684450224508,2.08216670271941,-1.25313729909249,-6.17233008476906,17.5393954491389,0.00055173,0.5
"32",32,11.1494101808639,0.45577781368047,-1.3288464343641,0.29161936591845,18.5261321887047,0.00050179,0.5
"33",33,12.1055304493057,0.841448643710464,-1.14811943541281,-5.1010251368396,30.1069221469232,0.00056215,0.5
"34",34,7.79329164722003,0.0972223373828456,-1.13944048574194,-6.566623062687,17.091713293394,-0.00095517,0.5
"35",35,13.5,5.5,-2,-2.74169886783928,214.500029532166,-0.014523,0.5
"36",36,13.5,3.32102651385802,-2,-1.04743839874494,200.731678720488,-0.014505,0.5
"37",37,13.5,3.48599037934719,-2,-4.79954822313245,214.844551570741,-0.014524,0.5
"38",38,13.5,1.13160153899374,-2,-3.05195953664662,214.677093394088,-0.014524,0.5
"39",39,11.5129720757477,5.5,-2,-0.849121143137462,194.615607502242,-0.014501,0.5
"40",40,13.5,2.44995009580877,-2,0.7,122.223608279532,-0.014515,0.5
"41",41,13.5,2.50788763848611,-2,-7,214.847587033247,-0.014524,0.5
"42",42,11.6841244251424,3.70416602627328,-2,-2.94014156396474,214.627076845403,-0.014524,0.5
"43",43,10.1872740916016,5.5,-2,0.7,122.219979453667,-0.014515,0.5
"44",44,13.5,0,-2,-4.70033627693777,214.843628059359,-0.014524,0.5
"45",45,11.9482654517873,3.91676248609471,-2,0.7,122.223546853817,-0.014515,0.5
"46",46,13.5,5.5,-2,-4.82623591627007,214.844733696007,-0.014524,0.5
"47",47,13.5,0,-2,-1.45770189625042,208.66785858507,-0.014512,0.5
"48",48,11.5882299747617,1.69603269170066,-2,-1.03150886471066,200.301238269832,-0.014504,0.5
"49",49,11.7126899596959,1.79088179799031,-2,-4.66294575233027,214.843199278281,-0.014524,0.5
"50",50,10.1750390468417,5.5,-2,-2.58953735014568,214.352100361215,-0.014523,0.5
"51",51,13.5,2.82823361457216,-2,-2.7643931081504,214.517654273809,-0.014523,0.5
"52",52,10.2127015016043,0.652564162292367,-1.99999999978563,-0.254302174742638,166.720416283092,-0.014498,0.5
"53",53,9.96329273510589,3.54526592215848,-2,-0.684052745429709,188.218178134952,-0.014499,0.5
"54",54,13.5,5.5,-2,-1.04144184105245,200.570981396102,-0.014504,0.5
"55",55,11.53441688318,0,-2,-3.18535541676359,214.709111077731,-0.014524,0.5
"56",56,12.1404073605553,1.22815478927416,-2,0.7,122.223156964613,-0.014515,0.5
"57",57,8.10584973552822,2.97840002017352,-2,0.653418896047662,123.240801431183,-0.014526,0.5
"58",58,10.2813043394261,3.48697697934482,-2,-5.03352810950833,214.843423725027,-0.014524,0.5
"59",59,12.5079313634961,1.04648436279174,-2,-5.86816303940573,214.847210359995,-0.014524,0.5
"60",60,10.7583935769219,2.53141758527168,-2,0.7,122.222140239675,-0.014515,0.5
"61",61,10.0602557653817,1.98840029500229,-2,-2.80545357920664,214.539495836282,-0.014523,0.5
"62",62,7.8069009920171,0.096163667142625,-2,-2.99646325883707,168.547240586808,-0.01514,0.5
"63",63,13.5,1.41698639423261,-2,-0.560660475534306,182.693782582675,-0.014498,0.5
"64",64,10.7363447602271,0,-2,-1.49197324349596,209.02013839045,-0.014513,0.5
"65",65,13.5,4.01713909752509,-2,0.7,122.223609334848,-0.014515,0.5
"66",66,11.8413389460843,5.5,-2,-3.89603453749829,214.823085651666,-0.014524,0.5
"67",67,13.5,5.5,-0.552298845980462,0.7,15.0938731949695,0.00033367,0.5
"68",68,8.2479301124974,5.49999984664464,-2,-0.79763138998157,192.497192355233,-0.014504,0.5
"69",69,11.9134498162008,5.5,-2,0.7,122.223542880573,-0.014515,0.5
"70",70,10.3737776810577,0.357945954050072,-2,-4.69578642466949,214.760028718922,-0.014525,0.5
"71",71,12.554297543679,4.22225940772039,-2,-6.15767979217973,214.84746170675,-0.014524,0.5
"72",72,12.0380018169176,0,-2,-0.232089983061408,165.554889802766,-0.014497,0.5
"73",73,12.3872982223907,4.35398517258716,-1.99999999119611,-1.73859127555223,211.481494764401,-0.014516,0.5
"74",74,9.10751840813744,4.40606019628736,-1.99999999954308,0.7,122.179895846266,-0.014517,0.5
"75",75,13.5,1.98303269476829,-2,-4.34481679631784,214.83890108566,-0.014524,0.5
"76",76,9.13835722241532,0.330625816055865,-2,-1.29730235888962,204.703239116444,-0.014527,0.5
"77",77,7.94183662474326,5.5,-2,-3.1436400610893,214.207350261466,-0.01453,0.5
"78",78,7.70169781238928,5.5,-2,0.7,121.279789050818,-0.014547,0.5
"79",79,10.8536507058394,0,-2,0.7,122.087504795847,-0.014518,0.5
"80",80,12.3308469015779,2.13135513535072,-1.99883520994032,-2.09226469244109,215.755612428388,-0.014469,0.5
"81",81,13.3952037252946,4.24997317639733,-2,-3.71329579886494,214.810358655953,-0.014524,0.5
"82",82,9.23601319234094,3.40906707997294,-2,-3.2337059393984,214.70851789436,-0.014524,0.5
"83",83,9.48825472031776,1.7734058558759,-2,0.7,122.152187016509,-0.014517,0.5
"84",84,11.7999290966283,3.05589892047738,-2,-0.393053199605558,174.270316692149,-0.014497,0.5
"85",85,13.5,0.122915213743498,-0.443525342817938,0.7,15.2271986261356,0.00029595,0.5
"86",86,7.58349365719783,0.984324755196334,-1.1323358849038,-6.00966462829631,13.1296889528599,0.00020115,0.5
"87",87,10.6877729242733,4.31246935830878,-2,-1.64095026571205,210.678021718636,-0.014515,0.5
"88",88,11.8871450709262,0,-2,-5.20960441435188,214.840640817059,-0.014524,0.5
"89",89,10.2215508062043,1.01334371276045,-0.658612814981495,-4.39272291202023,24.1951997874676,0.00069808,0.5
"90",90,7.43695243994953,2.87251371813883,-1.4290422010245,-6.60429807995258,16.3797767972005,0.0005296,0.5
"91",91,9.50109503805225,2.39573216043092,-2,-5.48066153418707,214.827343209202,-0.014524,0.5
"92",92,5.36007410312894,4.37469947126306,-2,-3.24757747025748,174.689578819341,-0.014727,0.5
"93",93,8.94051772949122,2.52948695542588,-2,-1.3475737601235,207.000487222722,-0.014511,0.5
"94",94,13.5,0,-2,-3.01225822349524,214.660680009001,-0.014524,0.5
"95",95,11.3151862092853,2.84769615342978,-2,-5.890330268066,214.84711471054,-0.014524,0.5
"96",96,10.6785863078216,4.19419323471584,-2,0.699999696000506,122.222436294698,-0.014515,0.5
"97",97,9.74217305450424,5.49999997274002,-2,-0.80611530963748,193.056757701878,-0.014501,0.5
"98",98,7.59920799797715,4.22844718936646,-2,-0.47418513191273,177.370193347757,-0.014512,0.5
"99",99,9.47231015094257,0.332940701637068,-2,0.7,120.694172208596,-0.014544,0.5
"100",100,13.5,1.85274809954029,-2,-1.75130894519681,211.574509611694,-0.014517,0.5
"101",101,13.5,1.21235391592534,-2,0.7,122.223590618352,-0.014515,0.5
"102",102,12.3023245847337,0.855315013035876,-2,-3.97745143414009,214.827000706162,-0.014524,0.5
"103",103,10.4387770848114,3.56595818568116,-0.508654832816712,-5.70962434273632,30.8906335247907,0.00089506,0.5
"104",104,9.93552788565915,2.53621738562501,-0.948029456166923,-4.46210019481613,26.171813636595,0.00061702,0.5
"105",105,7.55757926457097,2.03864598829744,-0.982230790386418,-6.49778501968311,13.6986610329605,0.00057588,0.5
"106",106,10.9209766523426,1.27186591810737,-2,0.7,122.216738882806,-0.014515,0.5
"107",107,7.51505762003906,2.12696816851537,-2,0.7,117.852023002519,-0.014609,0.5
"108",108,12.2987996270413,2.71961411882039,-2,0.7,122.223573778276,-0.014515,0.5
"109",109,12.6488251163795,4.64363188360779,-2,-0.235027965050471,165.721712909042,-0.014497,0.5
"110",110,13.5,3.96887265045738,-2,-7,214.84758745152,-0.014524,0.5
"111",111,10.9205024691655,2.66362984651994,-2,-3.76554695564075,214.813932085685,-0.014524,0.5
"112",112,9.67550511837573,3.22051518855825,-1.99999989359975,0.7,122.210730878201,-0.014516,0.5
"113",113,12.1614489255541,0,-2,-2.04134214881536,213.130943442364,-0.01452,0.5
"114",114,10.0660101864808,2.89218646654084,-0.756335794529589,-5.18816063455468,27.7864100462984,0.00068946,0.5
"115",115,8.05779416478381,0.181914646437238,-2,-6.3753021823863,191.010013124193,-0.014815,0.5
"116",116,9.73152962761628,1.73510912134541,-0.65903798528888,-4.03219385511367,23.5375892321247,0.00070899,0.5
"117",117,7.80748386075421,5.15200425083902,-0.70981682867635,-1.10889776255963,21.008528191962,0.00070504,0.5
"118",118,8.4077985982983,1.12924516441395,-2,0.7,119.030176990005,-0.014576,0.5
"119",119,13.5,1.72493363259174,-2,-5.71315027862956,214.847231327208,-0.014524,0.5
"120",120,10.3199042028688,1.8308740293549e-07,-1.14920848968687,-0.351267904218181,20.0157734880114,0.00052844,0.5
"121",121,13.5,3.44380172223692,-0.821584100137556,0.7,14.9336429311643,0.0003946,0.5
"122",122,13.5,4.2497682035644,-0.806703360401541,-0.223414375971803,28.8546894142817,0.00062688,0.5
"123",123,9.78041476429455,0,-2,-3.06364923748578,213.944773815185,-0.014532,0.5
"124",124,13.4999999329598,2.84559434322143,-0.839873363854667,-0.182365133344623,27.926359785652,0.00060594,0.5
"125",125,13.5,1.91651656114652,-0.785097133978199,0.7,14.9412325190128,0.00038853,0.5
"126",126,9.10699503190473,2.79908767891774,-1.00120147326636,-3.87427259561727,22.8238058014053,0.00060057,0.5
"127",127,12.1577787579621,0,-2,0.7,122.216850723952,-0.014515,0.5
"128",128,10.8262572659927,2.72124678577034,-1.99999993270975,-1.70001482052451,211.183052503387,-0.014516,0.5
"129",129,11.8369884449371,5.49999537149593,-2,-2.27796945103836,213.844701006565,-0.014521,0.5
"130",130,13.5,3.70137374254066,-0.938674359093809,-2.16530707350355,34.6825963033396,0.00063194,0.5
"131",131,11.0106749104783,5.5,-1.06582055655431,-7,30.1967053168113,0.00062909,0.5
"132",132,10.0133237278206,5.5,-2,-7,214.843275589179,-0.014524,0.5
"133",133,7.75522185258804,3.94451334517838,-1.34322661609257,-7,18.8458644859351,0.0005461,0.5
"134",134,7.51596461473642,5.5,-1.49212832995336,-7,18.9216876912349,0.0005327,0.5
"135",135,6.63275702549629,5.5,-2,-7,206.626247735267,-0.0146,0.5
"136",136,11.9075418310522,5.5,-0.81881892774517,-5.87421052689455,33.7710856528395,0.00074233,0.5
"137",137,8.87515052676986,3.15430038285268,-1.38089052000229,-7,21.9783027972394,0.000542,0.5
"138",138,8.24827824505874,5.49999995949717,-1.58238411511732,-6.04194925121321,21.3587501120155,0.00052567,0.5
"139",139,10.9218991143628,3.67157245382329,-1.12496612613768,-6.99999993061352,29.4841131992526,0.0006065,0.5
"140",140,8.36385435944943,4.68520361290339,-2,-7,214.655727287577,-0.014526,0.5
"141",141,9.16242960679873,5.5,-1.59479659934558,-5.09890631342061,23.1962964310875,0.00052293,0.5
"142",142,10.3392117822717,2.28812949545741,-1.37136831946338,-7,25.3317696196154,0.00054144,0.5
"143",143,8.1307357390185,1.5700086067395,-1.36698800153565,-7,16.5186557696458,0.00050825,0.5
"144",144,12.2005908062072,5.5,-0.951354372533359,-7,33.3559516875598,0.00066943,0.5
"145",145,7.33701241113006,5.5,-1.58062394661182,-5.18602305208078,19.1518453708782,0.00052596,0.5
"146",146,10.8813110348431,5.5,-2,-5.42406861161903,214.846298224361,-0.014524,0.5
"147",147,13.5,3.12754603209065,-0.339066702536112,-7,39.5151234936139,0.0011244,0.5
"148",148,11.5355943849867,1.57451278480479,-1.37093202155079,-7,26.7554600768303,0.00053345,0.5
"149",149,5.71955866513698,5.5,-1.59060409582227,-5.1682728747638,14.8901298421445,0.00052241,0.5
"150",150,6.2878821985535,4.76968193586752,-1.62316381175288,-4.82665904007416,16.6359076026338,0.00051622,0.5
"151",151,10.6525222846883,1.20271888539234,-2,-7,214.840440992644,-0.014524,0.5
"152",152,13.5,5.5,-0.460932689781339,-3.66277183894886,38.7268475907597,0.00097868,0.5
"153",153,8.78749315137696,5.5,-0.881407070108925,-6.99989319039014,25.4759376056986,0.00069514,0.5
"154",154,11.9408575919026,2.70454647449353,-1.15616784699295,-6.99228175893627,30.8234719170214,0.00059206,0.5
"155",155,8.33755170757763,5.5,-2,-4.87849187538446,214.641645854562,-0.014527,0.5
"156",156,13.5,1.27552866488593,-0.559997920679546,-6.98308094842186,37.9104067398254,0.00085367,0.5
"157",157,9.43323116669806,4.28224464814526,-1.21850959955124,-5.92939435120808,25.2826435687781,0.00057543,0.5
"158",158,8.12191370397788,2.44403584802145,-1.95206201100969,-7,364.804178183056,-0.012312,0.5
"159",159,7.14123379222183,4.03140929561162,-1.49673288981426,-5.91521505337832,17.2959304621226,0.0005316,0.5
"160",160,13.5,3.89457349971575,-0.601006994096466,-5.56186874419594,37.7526263364811,0.00084269,0.5
"161",161,6.72498216668742,3.61200949725442,-1.55841506211969,-7,15.8483101899136,0.00051175,0.5
"162",162,5.73266862805308,4.66448577610079,-1.57831506538488,-5.80694220505227,13.9377513519973,0.00051021,0.5
"163",163,9.86229693958557,3.51359435420376,-1.47547896033425,-7,24.0241576113866,0.00053175,0.5
"164",164,11.4133999531185,4.33863203094306,-2,-7,214.847416442786,-0.014524,0.5
"165",165,5.04034774915018,5.5,-1.80162028572842,-6.09652030290835,8918.1047435646,-0.0036438,0.5
"166",166,9.73885695417009,5.5,-1.33093300665671,-4.24591338391821,25.1588629996142,0.00055498,0.5
"167",167,8.09084371957377,3.25625207240785,-1.21223187478443,-5.8273487034903,19.1214065854765,0.00056224,0.5
"168",168,5.37017639045048,4.63216192328505,-1.47594394405604,-4.78748593371414,11.9320334426111,0.00051085,0.5
"169",169,5.99836553235127,4.88130484708121,-1.33803912110548,-5.32253533304244,13.7094874227673,0.00054641,0.5
"170",170,12.1151614097556,4.3497069839674,-0.804358845825475,-4.89634841101003,34.288554716531,0.00074895,0.5
"171",171,6.13016848851132,3.76097155119705,-1.88153666721556,-5.79705201816253,1117.33341246846,-0.0087232,0.5
"172",172,13.5,3.76240838650261,-0.710319901834634,-3.80290352861515,36.9289328885178,0.00075824,0.5
"173",173,12.1886887500015,0.656684597507522,-1.26865252048055,-7,28.5445412716671,0.00053673,0.5
"174",174,7.49868332081477,0.763492647657938,-1.24452032524372,-6.97001755358548,13.9505398169587,-0.00023586,0.5
"175",175,13.5,5.5,-0.929303436895674,-6.03193946003417,34.8783038538901,0.00063657,0.5
