"","X","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"1",1,2,2.75,-0.75,-3.15,2.61734164606711,0.04489,0
"2",2,13.5,2.75,-0.75,-3.15,1.56319571998142,-0.00073139,0
"3",3,7.75,0,-0.75,-3.15,1.37301701728878,0.0014918,0
"4",4,7.75,5.5,-0.75,-3.15,1.34184516343667,-0.0007042,0
"5",5,7.75,2.75,-2,-3.15,2.32997173276828,0.014534,0
"6",6,7.75,2.75,0.5,-3.15,1.21321296165291,-0.0022249,0
"7",7,7.75,2.75,-0.75,-7,1.20023285008107,-0.00067345,0
"8",8,7.75,2.75,-0.75,0.7,0.988063793393999,-0.00031514,0
"9",9,2,0,-2,-7,1.32469547536179,0.034131,0
"10",10,13.5,0,-2,-7,2.33213019930434,0.014524,0
"11",11,2,5.5,-2,-7,1.92418349634696,0.017067,0
"12",12,13.5,5.5,-2,-7,2.3321304813336,0.014524,0
"13",13,2,0,0.5,-7,3.8760190033387,0.12191,0
"14",14,13.5,0,0.5,-7,1.60887231291758,-0.0018359,0
"15",15,2,5.5,0.5,-7,4.01059125648178,0.036056,0
"16",16,13.5,5.5,0.5,-7,1.65350637367012,-0.0030867,0
"17",17,2,0,-2,0.7,1.16513702961718,0.053934,0
"18",18,13.5,0,-2,0.7,2.08715401850105,0.014515,0
"19",19,2,5.5,-2,0.7,1.40592615221734,0.020953,0
"20",20,13.5,5.5,-2,0.7,2.08715510464484,0.014515,0
"21",21,2,0,0.5,0.7,2.25586603715745,27.885,0
"22",22,13.5,0,0.5,0.7,1.23527982739678,0.00066338,0
"23",23,2,5.5,0.5,0.7,1.6093112738129,2.7478,0
"24",24,13.5,5.5,0.5,0.7,1.23527267407134,0.0006621,0
"25",25,5.77757297968492,5.03769879986066,-0.930072337388992,-4.84590432916302,1.1088575964225,-0.00061756,0
"26",26,2.91663235484157,4.02712177974172,0.234880324103869,-6.72005386087112,3.54291090367696,0.048192,0
"27",27,13.4835997184273,4.11896405939478,0.241745857172646,-6.51596115170978,1.63452148413295,-0.0022703,0
"28",28,7.70583732088562,5.12961188342888,-0.0734388547716662,-0.956525596464052,1.31742966297789,-0.0011845,0
"29",29,8.83915653196163,2.9452816991834,-0.417074722237885,-3.20176520119421,1.33998091655223,-0.00085117,0
"30",30,12.6678504934534,4.50767914659809,0.0913259690860286,-6.99912229550537,1.60417336163746,-0.001928,0
"31",31,6.7551531183999,3.33373010670766,-0.954951471532695,-6.73817566649523,1.10601167802915,-0.00060542,0
"32",32,7.32363866339438,0.930684465682134,-0.317516794195399,-5.70477747255936,1.22583347506177,0.00035285,0
"33",33,3.67460982559714,3.04322758980561,-1.25349718949292,-1.06987667335197,2.3938933044635,0.015949,0
"34",34,7.11503533786163,1.4339938116027,-0.576620887033641,-6.2886833401164,1.09938610286462,-0.00029184,0
"35",35,10.5004687514156,0.684897314873524,-0.737810833845288,0.11681686048396,1.29203995248676,-0.0005969,0
"36",36,6.13728711579461,0.052015176624991,-1.63468550588004,-2.8126339409966,1.88605868576175,0.023284,0
"37",37,9.63247163780034,0.246052091475576,-1.15571267192718,-1.05426446474157,1.27958697239074,-0.00053294,0
"38",38,9.98427739262115,1.51982609496918,-0.0184791365172714,-4.23500904077664,1.38900440292416,-0.001241,0
"39",39,7.90584889485035,5.15536402969155,-1.02790641703177,-2.79202929583844,1.33328068383122,-0.0006077,0
"40",40,9.51491877622902,3.36301377543714,-0.902613460668363,-5.0226547755301,1.4135600658607,-0.00063714,0
"41",41,10.4681713860482,3.71687104168814,0.391209846246056,-5.90955213978887,1.52679521542382,-0.0021578,0
