"","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s"
"1",2,2.75,-0.75,-3.15,2.61734164606711,0.038714
"2",13.5,2.75,-0.75,-3.15,1.56319571998142,-0.0073139
"3",7.75,0,-0.75,-3.15,1.37301701728878,-0.0040575
"4",7.75,2.75,-2,-3.15,2.32997173276828,0.0099415
"5",7.75,2.75,0.5,-3.15,1.21321296165291,-0.02247
"6",7.75,2.75,-0.75,-7,1.20023285008107,-0.0067572
"7",7.75,2.75,-0.75,0.7,0.988063793393999,-0.0061317
"8",2,0,-2,-7,1.32469547536179,0.029458
"9",13.5,0,-2,-7,2.33213019930434,0.0099342
"10",2,0,0.5,-7,3.8760190033387,0.1052
"11",13.5,0,0.5,-7,1.60887231291758,-0.018359
"12",2,0,-2,0.7,1.16513702961718,0.049217
"13",13.5,0,-2,0.7,2.08715401850105,0.0099253
"14",2,0,0.5,0.7,2.25586603715745,27.862
"15",13.5,0,0.5,0.7,1.23527982739678,-0.0039371
"16",3.49285136465915,0.190547680598684,-0.430580024141818,-2.61782897443045,2.94449985082831,0.044144
"17",11.8982131602243,0.452906096470542,0.352157077402808,0.0387009489117194,1.39767144361106,-0.0129
"18",9.05485799803864,0.970032363315113,-0.714426891529001,-5.69356309641153,1.25951144850307,-0.006783
"19",11.9394979256904,3.09224533068482,0.283090460114181,-3.10951051188167,1.5882588437143,-0.021974
"20",4.5146360861836,1.02382071246393,-0.984804167994298,0.641500219958835,1.53900731791327,0.23378
"21",8.13287753751501,2.60013777471613,-0.426582373213023,-1.93238240680657,1.23467169639694,-0.0084409
"22",11.3287690434372,2.39977307000663,-1.43458225403447,-2.55858528984245,1.40917251817818,-0.0052314
"23",7.61305833084043,0.23359954461921,-0.311517708352767,-3.03008509732317,1.49281246135726,-0.0055266
"24",6.16742556798272,3.18993223144207,-1.15974523988552,-6.80516133783385,1.024013536319,-0.0056837
"25",5.38858229015023,0.891936305677518,-0.570657699019648,-0.548210691660643,2.22181456122178,0.068964
"26",11.1617441332201,1.65877804532647,-0.718556897947565,-4.08683112219442,1.4822157447882,-0.0069666
"27",5.96887124120258,0.229995183413848,0.00839692493900657,-5.04035900132731,3.30167466472203,0.052086
"28",10.2419856716879,2.96973981556948,-0.417350320960395,-1.84867172944359,1.46456972095497,-0.0088534
"29",12.4646257334389,1.01343515177723,-1.12167596048675,-0.433531068707816,1.43516081151365,-0.0055634
"30",12.3460880038328,2.08931536774617,0.238738518208265,-5.28191615662072,1.59112165213166,-0.019118
"31",10.5330562697491,1.46484755980782,-1.02465714141726,-5.98406551035587,1.42301739167916,-0.0059165
"32",6.62428253423423,0.566153731080703,-1.91291121172253,-3.87747774731833,2.09963547300443,0.010608
"33",13.5,3.22740796146118,-2,-0.658032989054894,2.27209380193829,0.0099091
"34",13.5,3.70103441148615,-2,-4.38522675698043,2.33211448833676,0.0099342
"35",13.5,0.870853336793669,-1.9999999996189,-2.71538223221024,2.33138355427004,0.0099331
"36",11.9652459434163,3.5866018859641,-2,0.7,2.08715488615665,0.0099253
"37",13.5,1.61541311434135,-2,-5.25468133683895,2.33212834792133,0.0099342
"38",13.5,2.02785416228299,-2,0.7,2.08715509446154,0.0099253
"39",11.6421109283713,1.50851223770041,-2,-1.07270745825145,2.30404337081344,0.009915
"40",13.5,0,-2,-1.20295263720147,2.31050372809445,0.0099173
"41",13.5,2.75657207449574,-2,-2.52809934132372,2.33098315439596,0.0099326
"42",10.0273725144359,3.34671051269191,-1.99999999998829,-1.03091564702272,2.30163969313016,0.0099143
"43",13.5,0,-2,-4.22263007290777,2.33210692696995,0.0099342
"44",11.8158247902915,0.847564680387142,-1.99999999969354,0.7,2.08714735272279,0.0099253
"45",8.25804217430076,3.05546433015122,-1.99999999983322,0.7,2.08601022912464,0.0099329
"46",11.5666140023998,1.91672564624426,-2,-3.97690056577333,2.33208894139415,0.0099341
"47",10.5954107882879,2.44987009159662,-2,0.7,2.08714697389441,0.0099253
"48",11.530271315239,0,-2,-2.48676155736182,2.33084266401663,0.0099326
"49",10.0317755573298,2.07108251476713,-2,-2.32044579856421,2.33027073410993,0.0099318
"50",11.0733714212707,0,-2,-0.265677739316774,2.22368501003663,0.0099072
"51",13.5,1.592394583511,-2,-0.956978637141841,2.29699368383909,0.009913
"52",13.4999999983833,0.499837778291713,-0.481680126811852,0.57764087152483,1.2118228419696,-0.0050211
"53",12.0913737124275,2.92282366135408,-2,-1.4264544895805,2.31857860772117,0.0099213
"54",10.4828646435891,1.17298567715641,-1.99999999966547,-5.45322743783756,2.33210649378849,0.0099343
"55",9.63143792064521,1.30291418849086,-1.9999999931375,0.210087676249667,2.15123131237223,0.0099097
"56",10.979025433926,3.45793979448469,-0.517232626072369,-2.81051796287559,1.51384572768744,-0.009282
"57",12.3427507977096,0.113063617521982,-0.477897073342341,0.245433273666231,1.30409889646397,-0.0052567
"58",12.1253333233845,2.66571165797614,-0.764402596020879,-3.31681402147561,1.5373508839883,-0.0076387
"59",7.74827874118372,0.483567465446637,-2,-2.99070008019749,2.27683950538816,0.010237
"60",13.5,3.12336176800645,-2,-6.1652090408245,2.33213025395471,0.0099342
"61",13.5,3.08482969358841,-0.837572010310086,0.7,1.17406078997634,-0.0049879
"62",10.2802657774195,0,-2,0.7,2.08534312782199,0.0099347
"63",8.38254016344107,2.56576549031375,-2,-1.50948861553162,2.3203068299191,0.0099249
"64",6.87040166049328,3.62033208494506,-1.06686880166278,-6.39709330870577,1.14917012888403,-0.0058845
"65",7.85231305397363,2.92704423439531,-0.298612497252914,-2.984248393391,1.21899664356493,-0.0094483
"66",10.8022440831968,3.22471110617204,-2,-3.18137650443657,2.33187296853084,0.0099338
"67",12.2281227867582,2.32363882202325,-1.9999999947091,0.699995746582907,2.0871553913629,0.0099253
"68",12.1855697014707,2.00402213972863,-0.270985384828692,-4.75065089514634,1.56135194932849,-0.011205
"69",7.57970774303543,2.07176407276902,-2,0.7,2.0724025906129,0.0099997
"70",12.3996692043035,0,-2,-0.337334517564507,2.23377801147373,0.0099069
"71",12.5200723477562,1.03580786535147,-0.136436641798273,0.294250814174045,1.30293257131689,-0.0053124
"72",8.77065800797993,0.635216836946688,-2,0.7,2.07293872147023,0.009998
"73",13.5,1.63600453106858,-0.711581956967375,-0.121187485813626,1.44522619402818,-0.0064465
"74",13.5,2.13800045971844,-2,-3.73261964536328,2.33205849480527,0.0099341
"75",11.8718134274094,3.06283146369743,-0.378148242438826,-2.38611932993935,1.55227085669219,-0.010957
"76",9.88364967805811,0,-2,-1.37950244977742,2.31594405249297,0.0099273
"77",5.14979760608326,1.01485162882822,-1.67117262969752,0.272504668850297,1.3241792135557,0.034884
"78",13.5,0,-0.174671866811743,-0.17025529132352,1.48060989640754,-0.0078373
"79",13.5,2.62628053363196,-0.698095680762561,-1.37123597357017,1.56126684270386,-0.0076041
"80",13.5,3.38064678818789,-0.462420168489901,-0.334642033559621,1.51636322273865,-0.0088068
"81",12.5656457941366,2.42126907663287,-0.804509049750464,-0.295792160235214,1.46693307429406,-0.0068286
"82",12.1676253154914,1.7369161270625,-2,-2.50788614348298,2.33092864648791,0.0099325
"83",13.5,2.21493323988237,-0.334066319478899,0.7,1.18747895277788,-0.00484
"84",11.7610085074061,0.834785902962225,-0.529380266459183,-0.0791051895255424,1.39561655477781,-0.0068697
"85",11.8035600248668,0,-2,-4.40992529934211,2.33210121629072,0.0099343
"86",9.59157930409101,3.24250645551305,-2,0.7,2.08709926805093,0.0099256
"87",12.9000455437136,0,-0.0102010176349544,0.7,1.20623236058726,-0.0046255
"88",12.6163851678364,1.5087049526797,-0.937440843759742,0.7,1.17410933634324,-0.0050024
"89",11.2053045783245,2.86587719065522,-2,-0.351653552806411,2.23572319459492,0.0099069
"90",6.72848343612057,3.25573577462842,-2,0.7,2.06442712012329,0.010043
"91",13.5,3.48347874151402,-0.65513264813536,-2.22703712415617,1.57136712077453,-0.0079774
"92",12.6177562727369,3.30080058362153,-0.367642272771219,-2.9916727872864,1.57649508598268,-0.011321
"93",8.72354685914995,0,-2,-0.403320156538475,2.22156284145633,0.010022
"94",12.4511434983835,3.2189961917501,-0.591792516608134,0.7,1.17766388402402,-0.0049424
"95",9.38702885485043,1.09944378073918,-1.42651968150617,-5.68486551100033,1.32597709557515,-0.0053455
"96",13.5,1.05413417421804,-2,0.7,2.08715500876237,0.0099253
"97",11.8120256306333,2.1498438053185,-0.749097253823565,0.7,1.17445883422033,-0.0049908
"98",10.9452237185499,2.76379898999302,-0.991440138465338,-1.89099305905197,1.47743183619868,-0.006345
"99",13.5,1.98210916773244,-0.775739469688201,-2.16094106811492,1.55947305557604,-0.0071298
"100",13.5,0.890299353121578,-0.631654181664461,-0.914683090586342,1.55163646712197,-0.0076113
"101",13.5,2.0356895520829,-0.638530382028218,-7,1.5736936179397,-0.0080823
"102",7.20400081577484,2.98486038194316,-1.51636308412136,-7,1.21292760427075,-0.005326
"103",8.51805686387712,2.71390777735685,-1.49441105615619,-6.99969305077938,1.31710685325127,-0.0053387
"104",9.57735408294701,1.589123730015,-1.53423449886382,-7,1.35996044921766,-0.0052698
"105",11.5267949044604,1.51598666089831,-1.39898269658273,-7,1.41922778792735,-0.0052684
"106",9.81432279838188,2.60786468919386,-2,-7,2.33211332513422,0.0099343
"107",10.3275006369562,0.54855091662157,-1.56196184441113,-7,1.36911254526184,-0.0051601
"108",11.2862980571591,0,-2,-7,2.33208388905642,0.0099345
