pka1,pka2,logA,Na.A,Energy.kJ.mol,Flux.mol.m2s,DIC.cyc,pCO2.lean
2,2.75,-0.75,2,-1.37541100929211,0.043271,-0.360034254411169,8.90811184147236
13.5,2.75,-0.75,2,19.1472283321951,-5.0749E-05,0.300184336611928,9.37017003421736E-05
7.75,0,-0.75,2,-1.99585929843514,0.0017604,-0.148191094714279,0.439460686922086
7.75,5.5,-0.75,2,12.8297023630618,-6.2683E-05,0.300175066963137,9.81263914466907E-05
7.75,2.75,-2,2,-3.64789332585929,0.0014521,-0.009941692273566,0.441568159871326
7.75,2.75,0.5,2,12.8659934631658,3.6589E-05,3.51743163641059,0.017610958036773
7.75,2.75,-0.75,-1,51.7443651699301,-6.4115E-05,0.138392291026268,0.000209352383371
7.75,2.75,-0.75,5,9.73391511576185,-3.1663E-05,0.274987510554619,0.007651545809893
2,0,-2,-1,-0.988009397654638,0.0033954,-0.028901448153038,0.999999995453223
13.5,0,-2,-1,-9.68560159239615,0.0023991,-0.019403332052882,0.720614043749802
2,5.5,-2,-1,-4.99816862278667,0.0025167,-0.022333062723547,0.744873851257325
13.5,5.5,-2,-1,-9.68560278339782,0.0023991,-0.019403329762754,0.720614029721709
2,0,0.5,-1,-1149.55447882042,0.0086289,-0.028899896741415,0.999978811397725
13.5,0,0.5,-1,79.8990138682862,-0.00013196,2.83052287742455,2.54700771828778E-10
2,5.5,0.5,-1,-26306.4941444479,0.0020717,-0.003151359713193,0.165483934654842
13.5,5.5,0.5,-1,85.5468117116263,-0.0002507,2.83071182023251,4.61860934012433E-13
2,0,-2,5,-0.595995827129857,0.0053934,-0.047911198512262,1.55859787541763
13.5,0,-2,5,-3.27174964396735,0.0014515,-0.009987259822687,0.441917118035262
2,5.5,-2,5,-0.807508494778616,0.0020946,-0.025449407546112,0.621305025189808
13.5,5.5,-2,5,-3.2717570920036,0.0014515,-0.00998724319358,0.441916952756171
2,0,0.5,5,-1.38569548776577,2.7899,-6.51660670429013,159.75132976234
13.5,0,0.5,5,17.193827322669,6.5537E-05,2.69443171735014,0.034231264009525
2,5.5,0.5,5,-1.15470695482516,0.27442,-6.42063501389598,17.5550097545466
13.5,5.5,0.5,5,17.1936175280027,6.5409E-05,2.69522287369836,0.034193690530148
2.47635268047452,3.55545279174112,0.195977173978463,2.23448354424909,-1.36579741004709,0.46292,-2.94900680097687,40.2916069371796
8.03378728334792,2.8558458549669,0.295646085985936,0.251962279900908,16.5116857535413,-0.00017293,3.32375651702112,0.000169392043642
5.43448005535174,0.441047870437615,-1.24582981737331,0.794476259034127,-1.82699922687491,0.0056329,-0.06848171021692,1.5085391451278
4.14648807502817,0.979694282403216,-0.200607064645737,3.40649952087551,-1.43905968008895,0.24675,-1.2278285399948,31.4864746345022
8.8482400320936,1.7411932736868,-1.12744383618701,-0.836302424315363,49.8207664378128,-5.5571E-05,0.053886052013053,0.000228584306894
7.27135021518916,3.14183163631242,0.039803174557164,0.82459990400821,12.2333528516527,-0.00011182,1.76156656547769,0.002064858543841
6.36845084454399,0.613279306446202,0.163640061044134,0.688312823884189,-3.30237669662227,0.044793,-0.92961104657853,4.52665161673211
7.32324746763334,0.856929471367039,-0.116546007222496,0.79453420592472,-9.23192418090151,0.0018733,-0.194981225198948,0.270024780917264
